"ID","AIC","BIC","T0","Tm","a","b"
"824","-9.725938e+00","-9.408171e+00","-4.260642e+00"," 5.391364e+01","-6.335435e-01","-6.922794e-03"
"825","-1.330124e+01","-1.251234e+01","-6.105623e+00"," 5.997850e+01"," 5.769034e+02"," 5.395884e-06"
"826"," 6.807275e+00"," 6.590916e+00","-1.051965e+01"," 6.193981e+01","-1.418740e+01","-2.749658e-04"
"827"," 8.107978e+00"," 8.896877e+00","-1.112694e+01"," 5.296428e+01"," 1.908322e-01"," 4.790516e-02"
"827"," 8.107979e+00"," 8.896877e+00","-1.112694e+01"," 5.296428e+01"," 1.908322e-01"," 4.790517e-02"
"828"," 4.0040433666"," 4.3218095333","-9.0765756174","56.0635180219"," 0.6724172393"," 0.0076013020"
"829","-3.050330e+00","-2.732564e+00","-8.019017e+00"," 6.208749e+01","-1.041329e+02","-3.615839e-05"
"83","-2.281947e+01","-2.250171e+01"," 1.816388e-01"," 4.918157e+01"," 4.594479e+01"," 3.851819e-05"
"830","-1.217803e+01","-1.239439e+01","-2.505149e+01"," 4.774411e+01"," 1.095619e-01"," 7.896615e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776696e+01"," 5.108388e+01"," 7.339168e-02"," 7.475429e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776693e+01"," 5.108389e+01"," 7.339174e-02"," 7.475419e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776694e+01"," 5.108389e+01"," 7.339171e-02"," 7.475424e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776694e+01"," 5.108389e+01"," 7.339172e-02"," 7.475423e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776690e+01"," 5.108390e+01"," 7.339179e-02"," 7.475411e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776693e+01"," 5.108389e+01"," 7.339174e-02"," 7.475420e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776693e+01"," 5.108389e+01"," 7.339173e-02"," 7.475421e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776693e+01"," 5.108389e+01"," 7.339173e-02"," 7.475422e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776691e+01"," 5.108389e+01"," 7.339177e-02"," 7.475415e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776694e+01"," 5.108389e+01"," 7.339172e-02"," 7.475422e-02"
"831","-1.504234e+01","-1.472457e+01","-3.776692e+01"," 5.108389e+01"," 7.339175e-02"," 7.475418e-02"
"832","-2.0702241437","-2.2865835475","-9.8208170887","49.2604737606"," 0.2394359194"," 0.0382192573"
"833","-1.126045e+01","-1.094269e+01","-1.215500e+01"," 4.661546e+01"," 1.340244e-01"," 8.217118e-02"
"833","-1.126045e+01","-1.094269e+01","-1.215501e+01"," 4.661546e+01"," 1.340244e-01"," 8.217118e-02"
"833","-1.126046e+01","-1.094269e+01","-1.215501e+01"," 4.661546e+01"," 1.340244e-01"," 8.217123e-02"
"833","-1.126046e+01","-1.094269e+01","-1.215501e+01"," 4.661546e+01"," 1.340244e-01"," 8.217122e-02"
"833","-1.126045e+01","-1.094269e+01","-1.215500e+01"," 4.661546e+01"," 1.340244e-01"," 8.217117e-02"
"833","-1.126046e+01","-1.094269e+01","-1.215501e+01"," 4.661546e+01"," 1.340243e-01"," 8.217123e-02"
"833","-1.126045e+01","-1.094269e+01","-1.215501e+01"," 4.661546e+01"," 1.340244e-01"," 8.217120e-02"
"833","-1.126046e+01","-1.094269e+01","-1.215502e+01"," 4.661546e+01"," 1.340243e-01"," 8.217128e-02"
"84","-4.337435e+01","-4.258545e+01","-4.660359e+00"," 4.535019e+01"," 6.458984e-01"," 1.960534e-03"
"842","-6.411971e+01","-6.156348e+01","-1.657392e+01"," 5.135000e+01"," 1.198022e-01"," 8.443992e-03"
"843","-5.209067e+01","-4.953444e+01","-9.281577e+00"," 6.440034e+01","-3.780758e+00","-3.217101e-04"
"844","-5.274330e+01","-5.018707e+01","-6.554621e+00"," 5.497634e+01"," 2.489634e-01"," 6.660496e-03"
"845","-2.985490e+01","-2.729867e+01","-2.835489e+00"," 4.729315e+01"," 1.911162e+02"," 1.513592e-05"
"846","-8.652216e+00","-6.095987e+00","-2.651247e+00"," 5.797447e+01","-1.090837e+01","-3.089800e-04"
"847","-9.746886e+01","-9.491263e+01","-2.557696e-01"," 5.450783e+01"," 7.328045e-02"," 2.690388e-02"
"847","-9.746885e+01","-9.491263e+01","-2.557699e-01"," 5.450783e+01"," 7.328044e-02"," 2.690388e-02"
"847","-9.746885e+01","-9.491263e+01","-2.557697e-01"," 5.450783e+01"," 7.328045e-02"," 2.690387e-02"
"847","-9.746885e+01","-9.491263e+01","-2.557694e-01"," 5.450783e+01"," 7.328046e-02"," 2.690387e-02"
"848","-1.224297e+02","-1.198735e+02","-1.863978e+00"," 4.613108e+01"," 1.739220e-02"," 1.531343e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863977e+00"," 4.613108e+01"," 1.739220e-02"," 1.531343e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863974e+00"," 4.613111e+01"," 1.739220e-02"," 1.531338e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863990e+00"," 4.613100e+01"," 1.739217e-02"," 1.531359e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863978e+00"," 4.613108e+01"," 1.739220e-02"," 1.531344e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863980e+00"," 4.613107e+01"," 1.739219e-02"," 1.531346e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863987e+00"," 4.613102e+01"," 1.739218e-02"," 1.531356e-01"
"848","-1.224297e+02","-1.198735e+02","-1.864011e+00"," 4.613086e+01"," 1.739213e-02"," 1.531388e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863979e+00"," 4.613107e+01"," 1.739219e-02"," 1.531345e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863988e+00"," 4.613101e+01"," 1.739218e-02"," 1.531357e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863983e+00"," 4.613105e+01"," 1.739219e-02"," 1.531351e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863977e+00"," 4.613108e+01"," 1.739220e-02"," 1.531342e-01"
"848","-1.224297e+02","-1.198735e+02","-1.863981e+00"," 4.613106e+01"," 1.739219e-02"," 1.531347e-01"
"849","-1.316791e+02","-1.291229e+02","-2.909269e+00"," 3.981287e+01"," 1.174782e-02"," 7.506273e-01"
"849","-1.316791e+02","-1.291229e+02","-2.909269e+00"," 3.981287e+01"," 1.174782e-02"," 7.506272e-01"
"849","-1.316791e+02","-1.291229e+02","-2.909272e+00"," 3.981285e+01"," 1.174782e-02"," 7.506330e-01"
"849","-1.316791e+02","-1.291229e+02","-2.909273e+00"," 3.981285e+01"," 1.174782e-02"," 7.506347e-01"
"85","-2.685243e+01","-2.706879e+01","-4.405302e+02","-3.379324e+00"," 3.525523e-03","-3.488005e-01"
"852"," -20.16702932"," -21.72927767","-101.02646128","  42.53648489","   0.01756045","   0.09479129"
"853","-3.165650e+01","-3.321875e+01","-7.281093e+00"," 5.674087e+01"," 1.439655e+03"," 1.458942e-06"
"854","-55.009055331","-56.571303682","-15.793174734"," 44.308547224","  0.072988709","  0.043751418"
"855","-4.074692e+01","-4.230916e+01","-6.501092e+00"," 4.375962e+01"," 3.716233e-01"," 1.005497e-02"
"856","-2.298138e+01","-2.454363e+01","-2.911009e+00"," 5.033433e+01"," 1.774188e+03"," 1.700110e-06"
"857","-3.607790e+01","-3.764015e+01","-2.016229e+01"," 4.289690e+01"," 6.665997e-02"," 5.966748e-02"
"857","-3.607790e+01","-3.764015e+01","-2.016228e+01"," 4.289690e+01"," 6.666000e-02"," 5.966745e-02"
"858","-1.843889e+01","-2.000114e+01","-1.749704e+01"," 5.286437e+01","-2.902176e+00","-4.813628e-04"
"859","-2.837109e+01","-2.993333e+01","-1.421001e+01"," 5.597492e+01"," 1.895468e+00"," 8.541532e-04"
"86","-4.263519e+00","-5.825767e+00","-6.852770e+01"," 1.569255e+02"," 3.343807e-02"," 1.579148e-01"
"86","-4.263519e+00","-5.825767e+00","-6.852770e+01"," 1.896379e+02"," 3.343807e-02"," 1.285791e-01"
"86","-4.263519e+00","-5.825767e+00","-6.852769e+01"," 1.205947e+02"," 3.343807e-02"," 2.304919e-01"
"86","-4.263519e+00","-5.825767e+00","-6.852770e+01"," 1.217735e+02"," 3.343807e-02"," 2.181148e-01"
"860","-30.33979906","-31.90204741","-29.66785749"," 45.55096200","  0.05021580","  0.04954400"
"861","-3.113428e+01","-3.269653e+01","-5.854412e+00"," 4.743395e+01"," 1.715702e+03"," 1.593344e-06"
"862","-34.071754141","-35.634002491"," -5.173014362"," 48.119447696","  0.448228788","  0.006526724"
"863","-2.848311e+01","-3.004536e+01","-5.827849e+00"," 4.820699e+01","-1.924686e+01","-1.193523e-04"
"864","-28.776164260","-30.338412610","-11.232853317"," 58.500611978","  0.209432892","  0.008396109"
"865","-37.321735015","-38.883983366","-18.243095159"," 44.349412713","  0.068301930","  0.049020685"
"866","-35.87049653","-37.43274488","-26.51624801"," 51.09273524","  0.05254716","  0.04362175"
"867","-2.408466e+01","-2.564691e+01","-4.095115e+00"," 5.688133e+01","-5.536635e+01","-3.648711e-05"
"868","-1.811199e+01","-1.967424e+01","-5.325882e+00"," 4.807678e+01"," 8.833482e+02"," 2.772188e-06"
"869","-28.98732179","-30.54957014","-18.83627888"," 43.65384381","  0.04885370","  0.09017718"
"87"," 1.156465e+01"," 1.000240e+01","-1.515117e+02"," 3.009394e+02"," 1.830894e-02"," 7.131215e-02"
"87"," 1.156465e+01"," 1.000240e+01","-1.515117e+02"," 3.148290e+02"," 1.830895e-02"," 6.308675e-02"
"870","-35.24662755","-36.80887590","-14.09572574"," 53.18855178","  0.07938229","  0.03147054"
"871","-2.993384e+01","-3.149609e+01","-1.737396e+01"," 4.122649e+01"," 4.582476e-02"," 1.100514e-01"
"872","-19.32607531","-20.88832366"," -0.90549323"," 46.94480936","  0.20855555","  0.01645356"
"873","-24.25983805","-25.82208640"," -3.92557252"," 44.35778324","  0.11619153","  0.04487285"
"874","-3.268664e+01","-3.424888e+01","-2.375069e+00"," 5.127747e+01","-4.697807e+02","-4.882139e-06"
"875","-18.759206647","-20.321454998","  0.491544821"," 49.634447694","  0.438957411","  0.007637662"
"876","-2.400860e+01","-2.557085e+01","-2.023914e+01","-2.425854e+01"," 5.074398e-02","-1.765424e-02"
"877","-4.417794e+01","-4.574019e+01","-9.041935e+00"," 4.179327e+01"," 3.290358e-02"," 5.781280e-01"
"878","-1.829542e+01","-1.985767e+01","-1.158362e+01"," 1.297728e+03"," 3.287315e-02"," 1.482023e-02"
"878","-1.829542e+01","-1.985767e+01","-1.158362e+01"," 4.513364e+02"," 3.287315e-02"," 5.070736e-02"
"878","-1.829542e+01","-1.985767e+01","-1.158362e+01"," 2.354874e+02"," 3.287315e-02"," 1.058558e-01"
"878","-1.829542e+01","-1.985767e+01","-1.158362e+01"," 3.829787e+02"," 3.287314e-02"," 5.800204e-02"
"879","-1.911414e+01","-2.067639e+01","-3.574180e+01","-3.482877e+01","-4.950960e+00"," 8.272662e-05"
"88","-5.341753e-01","-2.096424e+00","-1.039279e+03"," 3.399880e+01"," 3.548580e-03"," 6.336534e-01"
"880","-2.082651e+01","-2.238876e+01","-9.814863e+00"," 3.688791e+03"," 3.544336e-02"," 4.781020e-03"
"880","-2.082652e+01","-2.238876e+01","-9.814864e+00"," 1.423191e+02"," 3.544336e-02"," 1.902348e-01"
"881","-2.561390e+01","-2.717615e+01","-7.144536e+00"," 3.646156e+01"," 4.310070e-02"," 2.929417e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144535e+00"," 3.650469e+01"," 4.310070e-02"," 2.845426e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144536e+00"," 3.632672e+01"," 4.310070e-02"," 3.227134e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144535e+00"," 3.643123e+01"," 4.310070e-02"," 2.991444e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144535e+00"," 3.642063e+01"," 4.310070e-02"," 3.013841e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144535e+00"," 3.625124e+01"," 4.310070e-02"," 3.421848e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144535e+00"," 3.642267e+01"," 4.310070e-02"," 3.009495e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144536e+00"," 3.647732e+01"," 4.310070e-02"," 2.898169e+00"
"881","-2.561390e+01","-2.717615e+01","-7.144535e+00"," 3.635679e+01"," 4.310070e-02"," 3.155552e+00"
"882","-38.355056268","-39.917304618"," -9.141059112"," 37.360057115","  0.039092399","  1.265879005"
"883","-3.427508e+01","-3.583732e+01","-1.405758e+01"," 2.620650e+02"," 3.803432e+00"," 3.223046e-05"
"884","-1.813400e+01","-1.969625e+01","-1.621212e+01"," 2.499990e+02"," 3.100899e-02"," 9.793626e-02"
"885","-26.22663980","-27.78888815"," -9.81161719"," 51.26685745","  0.04099424","  0.17447551"
"886","-3.066133e+01","-3.222357e+01","-1.610099e+01"," 4.800694e+02"," 4.003672e-02"," 2.441649e-03"
"887","-2.278548e+01","-2.434773e+01","-1.530613e+01"," 1.459390e+02"," 3.490100e-02"," 1.968777e-01"
"888"," -20.10833310"," -21.67058145","-111.88262770","  42.36170174","   0.01592145","   0.09968484"
"889","-3.045118e+01","-3.201343e+01","-7.407439e+00"," 5.684392e+01"," 1.466267e+03"," 1.421198e-06"
"89"," 4.641034e-02","-1.515838e+00","-1.167968e+03"," 1.416197e+02"," 2.273780e-02"," 1.400097e-03"
"890","-52.642286298","-54.204534649","-14.504271291"," 44.661091771","  0.080823228","  0.038529111"
"891","-46.148764729","-47.711013079"," -6.274301467"," 43.836023179","  0.408250343","  0.009109824"
"892","-2.331976e+01","-2.488201e+01","-2.790887e+00"," 5.026213e+01"," 1.493296e+03"," 2.035511e-06"
"893","-35.576694135","-37.138942485","-20.946666532"," 42.862701454","  0.064695236","  0.061150487"
"894","-1.843811e+01","-2.000036e+01","-1.748911e+01"," 5.286611e+01","-2.817982e+00","-4.956912e-04"
"895","-27.73456073","-29.29680908","-15.82849846"," 55.35300531","  0.36513335","  0.00459245"
"896","-31.60756351","-33.16981186","-28.77804231"," 45.56122731","  0.05167625","  0.04853807"
"897","-3.008609e+01","-3.164834e+01","-5.929019e+00"," 4.746991e+01"," 1.658502e+03"," 1.640769e-06"
"898","-35.744274649","-37.306522999"," -5.203530805"," 47.993580915","  0.402448322","  0.007371972"
"899","-2.952575e+01","-3.108799e+01","-5.719010e+00"," 4.820711e+01","-7.932967e+00","-2.901848e-04"
"9","2.168762e+01","2.327920e+01","7.906768e+00","5.414081e+01","1.160810e+03","8.979968e-06"
"90"," 2.873047e+00"," 1.310798e+00","-6.985970e+01"," 3.038975e+01"," 2.383664e-02"," 5.104792e+00"
"90"," 2.873047e+00"," 1.310798e+00","-6.985967e+01"," 3.038931e+01"," 2.383664e-02"," 5.110549e+00"
"90"," 2.873046e+00"," 1.310798e+00","-6.985971e+01"," 3.035659e+01"," 2.383663e-02"," 5.579521e+00"
"90"," 2.873046e+00"," 1.310798e+00","-6.985972e+01"," 3.036482e+01"," 2.383663e-02"," 5.453468e+00"
"90"," 2.873047e+00"," 1.310798e+00","-6.985966e+01"," 3.038852e+01"," 2.383665e-02"," 5.120913e+00"
"90"," 2.873047e+00"," 1.310798e+00","-6.985970e+01"," 3.039055e+01"," 2.383664e-02"," 5.094223e+00"
"91"," 7.553073e+00"," 5.990824e+00","-6.458001e+01"," 3.043237e+01"," 2.933159e-02"," 4.374230e+00"
"92"," 3.219173e+00"," 1.656925e+00","-1.656373e+03"," 1.318983e+02"," 3.156645e-01"," 3.479978e-05"
"93","-3.012332e+00","-4.574580e+00","-3.696134e+01"," 3.043529e+01"," 3.742441e-02"," 4.562131e+00"
"93","-3.012332e+00","-4.574580e+00","-3.696137e+01"," 3.041086e+01"," 3.742439e-02"," 4.833417e+00"
"93","-3.012332e+00","-4.574580e+00","-3.696135e+01"," 3.042321e+01"," 3.742440e-02"," 4.692354e+00"
"93","-3.012332e+00","-4.574580e+00","-3.696135e+01"," 3.043047e+01"," 3.742440e-02"," 4.613214e+00"
"93","-3.012331e+00","-4.574580e+00","-3.696132e+01"," 3.044859e+01"," 3.742442e-02"," 4.426939e+00"
"93","-3.012332e+00","-4.574580e+00","-3.696136e+01"," 3.041671e+01"," 3.742440e-02"," 4.765551e+00"
"93","-3.012332e+00","-4.574580e+00","-3.696137e+01"," 3.041236e+01"," 3.742439e-02"," 4.815882e+00"
"93","-3.012331e+00","-4.574580e+00","-3.696133e+01"," 3.044750e+01"," 3.742442e-02"," 4.437671e+00"
"93","-3.012332e+00","-4.574580e+00","-3.696137e+01"," 3.041013e+01"," 3.742439e-02"," 4.841953e+00"
"94","-7.614585e+00","-9.176834e+00","-9.968350e+01"," 3.034835e+01"," 1.607957e-02"," 5.010374e+00"
"95"," 1.690902e+00"," 1.286538e-01","-1.274739e+02"," 3.019049e+01"," 1.565743e-02"," 5.797601e+00"
"96"," 1.896739e+01"," 1.740514e+01","-6.725422e+01"," 3.242157e+02"," 1.763625e-01"," 6.752836e-02"
"97"," 3.473037e+01"," 3.316812e+01","-3.892895e+02"," 5.683611e+02"," 4.626821e-02"," 2.967839e-03"
"98"," 3.776983e+01"," 3.620758e+01","-3.283250e+02"," 2.526768e+02"," 4.758983e-02"," 5.514429e-02"
"99"," 3.872237e+01"," 3.716012e+01","-1.360799e+03"," 2.297778e+02"," 2.472125e-02"," 3.207826e-03"
