"ID","AIC","BIC","B0","B1","B2","B3"
588,-1.7322820995,-2.7734847533,0.3684763533,-0.075263559,0.0113068168,-0.0002922594
589,-0.1611880393,-1.2023906932,1.24091512,-0.2996641649,0.0283163542,-0.0006354497
600,-56.51343,-57.55464,0.07982453,0.1255702,-0.008307017,0.0001719298
612,6.3138565655,5.2726539116,-0.6650716,0.353487834,-0.0180906774,0.000312068
613,14.7258265484,13.6846238946,7.1207546667,-0.6671818769,0.063871403,-0.001256034
615,26.510756315,25.469553662,11.549616067,-1.738960123,0.147852674,-0.003031487
618,13.8401688465,12.7989661927,4.6327724627,0.9771605843,0.0732489813,-0.0040248351
619,19.6187426406,18.5775399868,14.2639189365,0.8764979513,0.0655815765,-0.0046804006
620,12.6023885126,11.5611858588,9.2903257556,0.5024757674,-0.0029660322,-0.0012720316
621,25.159338954,24.1181363,22.157216817,2.841635284,-0.133940611,0.003082028
622,18.9105068396,17.8693041857,16.8708476667,2.5394907302,-0.0311904862,-0.0011659451
624,19.3260660333,18.2848633795,5.6455379206,-0.3094742656,0.0838756063,-0.0025089834
625,19.0422985157,18.0010958618,6.0934298302,-0.1333264097,0.1073233646,-0.0035420219
626,14.8570786072,13.8158759533,7.0478473278,-0.2612163573,0.1056974621,-0.0033176117
627,29.028540795,27.987338142,1.668462314,-0.098883763,0.095889399,-0.003200205
628,20.740052006,19.698849352,1.582855246,0.206270461,0.05410235,-0.001976734
630,14.87873589,13.837533237,1.995046841,-0.123072003,0.115234628,-0.003685489
632,19.9105010768,18.8692984229,1.7274306159,-0.375723354,0.1435763843,-0.0044155091
635,15.0517986206,14.0105959667,0.9504543444,0.5457572874,-0.0183505806,0.0005492701
636,3.0744868892,2.0332842353,0.5542022352,-0.0037741853,0.0271707993,-0.0004538502
639,-9.803593,-10.8448,0.5592762,-0.1122605,0.00804304,-0.0001267032
640,-10.53326,-11.57446,1.862709,-0.2888256,0.0155236,-0.0002041811
643,22.613171279,21.571968625,16.31976766,-2.779582343,0.167407439,-0.0028877
644,30.614569541,29.573366887,4.556616638,-1.26988636,0.104037051,-0.001982437
646,9.8567734635,8.8155708096,4.4210522667,-0.0070966172,0.0318955234,-0.0007830101
648,-0.1306738434,-1.1718764972,-1.4151752733,0.4474013248,-0.011906802,0.0002121817
650,-26.5693,-27.61051,-1.742318,0.359062,-0.008302063,4.17328e-05
660,9.114186,11.93893,16.74416,-1.718736,0.0627164,-0.0006651017
661,36.838246169,35.797043515,50.979169129,-8.720922594,0.549813027,-0.009559891
665,-21.00477,-22.04598,1.444055,0.152901,0.001208285,-0.0001034168
666,-21.79905,-22.84025,-4.07205,0.7125595,-0.01959327,0.0001461939
684,-22.37799,-23.4192,2.718187,-0.1669432,0.01024279,-0.0001688257
686,-20.69618,-21.73738,-4.199556,0.6176345,-0.01679955,0.0001293501
701,-20.16149,-22.1143,-6.588301,2.316241,-0.0862327,0.0009415609
710,-18.29567,-20.24848,-4.824898,2.32734,-0.09817735,0.001255354
712,0.2149275,-1.737883,-3.324158,3.500445,-0.1287181,0.001516376
734,-121.2831,-123.236,11.93276,-2.509802,0.2722688,-0.005154061
747,9.285815,8.244612,-22.50118,4.170913,-0.1721907,0.002150869
748,3.8188620869,2.777659433,-3.8245665714,1.7722064032,-0.06240518,0.0005691124
749,3.9212269524,2.8800242985,-4.2397985714,1.8968185897,-0.0701284029,0.0007616376
750,-12.68579,-13.72699,-3.365077,1.209624,-0.03746524,0.0003610086
752,-6.9042753644,-7.9454780182,-4.2309835238,1.671078155,-0.0596408586,0.0006195564
754,3.18713,2.91668,-26.68265,3.431917,-0.07238573,0.0002890863
756,28.923371548,27.882168894,1.977921064,0.692696561,0.050223039,-0.001178897
757,21.940228589,20.8990259352,2.875862323,0.408224704,0.0510734913,-0.0013658925
761,12.63607,11.59487,-14.07584,3.940448,-0.1424123,0.001547127
764,19.9155395244,18.8743368705,-0.835793099,0.1877829957,0.0616606604,-0.0015515413
771,10.7919,9.750694,-11.0628,2.585973,-0.06744767,0.0004310993
772,-4.9498793098,-5.9910819637,15.1280336936,-0.5268230826,0.0450806794,-0.0008150395
774,22.443236199,21.402033546,0.723840333,1.853646957,-0.095018952,0.001104982
775,-18.28619,-19.32739,8.520271,1.035553,-0.02903741,0.0001254387
776,5.508621742,4.4674190882,8.7527733333,0.3078051138,0.0026948484,-0.0002687983
777,14.5813360779,13.540133424,4.2573883333,2.0536785534,-0.0767802554,0.0008138959
789,15.4304886191,14.3892859652,1.9516906667,0.2803158878,0.0668691092,-0.0017477188
790,5.948923,4.907721,7.826085,-0.9897394,0.1612974,-0.003877616
791,23.592438838,22.551236184,8.888888667,-1.041576563,0.147071548,-0.00345679
792,23.027681804,21.98647915,4.830918667,0.190491428,0.059756155,-0.001962426
834,29.57973762,28.538534966,13.502809229,-2.196997983,0.204384642,-0.004347061
835,17.360609574,16.3194069201,23.859525581,-2.4738553785,0.1693972634,-0.0033729825
836,22.364591155,21.323388502,19.046013115,-3.779316517,0.23453374,-0.004057758
837,12.7603720133,11.7191693594,7.3904324533,-1.6994753756,0.1416041344,-0.0028274223
838,19.7543818635,18.7131792096,-3.7802555238,1.0926333804,-0.0672669334,0.0012584575
839,3.3029834729,2.261780819,-2.1725669067,0.5332302072,-0.0324306999,0.0006821181
840,-3.3641337336,-4.4053363875,-2.0992472771,0.4905227603,-0.0265182221,0.0004746121
850,-40.96485,-38.1401,0.3365095,0.009381935,-0.0001193647,2.964332e-05
851,-81.52933,-78.70458,0.02050902,-0.006327195,0.0007675633,-6.141873e-06
876,-42.92307,-44.87588,2.735916,-0.3273153,0.01599349,-0.000177103
877,-53.90881,-55.86162,0.7930605,-0.07984097,0.00558417,-6.578116e-05
881,-42.75188,-44.70469,2.849368,-0.339095,0.01726857,-0.0002081966
884,-18.92389,-20.8767,0.5732212,0.02981008,-0.0007710777,4.562653e-05
901,5.8620941936,4.8208915398,16.1143840952,-1.4532593558,0.0848610814,-0.0013446215
902,-5.9239171965,-6.9651198504,2.1927733571,-0.2193025502,0.0188362954,-0.0002619527
