"ID","AIC","BIC","B0","T0","Tm"
1,7.20336312801717,6.03167686531947,6.823903e-06,-15679.8,40.30501
10,34.2209669983756,35.4146528167707,0.0180117424,4.86598144,42.6901878
100,20.6226620254563,19.4509757627586,0.0002024549,-3644.946,38.65395
101,23.3412753913976,22.1695891286999,0.0105476564948454,-71.0903841313402,36.4197124950515
102,31.0814345387235,29.9097482760258,6.54041e-05,-11599.98,35.61343
103,26.761701484921,25.5900152222233,0.013306594,-44.204499135,35.7695901465
104,14.3753485689934,13.2036623062957,0.00763868,-85.92784129,34.42720932
105,26.2325971105182,25.0609108478205,0.0393813252,-11.264096,30.7377384
106,-59.8155972117154,-56.1589697371108,0.000245148143137255,-6.20172501960784,124.670778431373
107,74.2271919974843,77.0605089349836,0.027814985,6.6319565,44.06576
11,-31.5864090087584,-31.3480843837189,0.000192298634615385,-26.5718584615385,37.5937565384615
110,-5.57140238162584,-5.7336719344599,2.631102e-06,-24965.64,34.55966
111,-14.7152796131401,-15.8869658758378,5.325006e-05,3.991855,7235.996
112,-19.1939292904761,-18.9556046654365,2.2764e-06,-21320.05,34.97356
114,-27.5219242216366,-27.6841937744707,3.917555e-06,-10475.39,35.31906
116,-62.670611551204,-61.21589160184,-0.0004742661,76.8286,47.23005
117,-38.328347990697,-36.4111760018512,1.251336e-06,-23139.04,49.23642
118,-51.5824393279547,-49.6652673391089,3.438072e-06,-9429.277,53.33611
119,3.41741818639981,2.24573192370211,-0.0022554044,84.8936048878,43.3443948325
12,-46.2340951086286,-45.9957704835891,4.06625794505495e-05,-8.60576372527473,57.5757189010989
120,-3.4327999415271,-4.6044862042248,2.205727e-05,-5275.208,49.56328
121,5.39139701359622,4.21971075089852,8.036997e-06,-14513.68,47.60396
122,-0.469607979684476,-1.64129424238218,1.590157e-05,-7468.974,48.2742
123,1.1075802476455,-0.0641060150521975,2.133532e-05,-6023.076,47.96241
124,9.9667831214934,8.7950968587957,4.994379e-06,-22406.06,46.64163
125,14.0881258343174,12.9164395716197,3.036753e-06,-34180.69,45.7012
126,-8.40901157107889,-9.58069783377659,0.00364920866666667,11.8138533333333,51.78132
