"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Flower_eDNA","0","103.272808968664","1","52.5191850039908","1.68061692635925e-07","36.5282780046206","16.2377821763648","27.3071515774104","0.0501409121883686","4102.26596466742","4073.20247371226","0.996801236023789","21.9455202705116","0.731906620968869","116.823093186138","0.000358609251529591","0.13539824591453","24.4612736912375","0.20804954084448","632.501246576896","0.207083750174447","543.363215393135","0.158287039004881","30.5511995525988","0.00990275793658908"
"Bee_Bimpatiens_hv3_1","0","80.3280887256007","1","57.745611300604","0.000197813329250121","88.8054771344548","0.095447143816069","41.2492600493095","0.755775331227527","80.1598715692401","1748.57781213557","0.500000002069301","56.9604182672098","0.000292926088972487","95.4352988156242","0.0479562832819039","0.565601946168499","43.6377747613048","0.228946143597717","120.503886687771","0.606172970611427","5.53925374266671","1","49.1171452448771","0.0147877857565329"
"Bee_Bimpatiens_hv4_1","0","56.5386683123894","1","50.3418620370749","0.00212403984046725","62.0990355952718","0.10539981907803","38.5470198122135","0.773357149988221","56.2302152412043","160.8947296453","0.687455269748045","52.3050140697774","0.00079592035405368","65.7829751137214","0.0558756952217204","0.55763649481473","41.114178491752","0.214253872747186","67.5939721897266","1113.25230156855","276361.626081383","0.69218026600714","47.3524515425827","0.00946901707007198"
"Bee_Bimpatiens_hv4_2","0","82.1861839738075","1","50.4883977577856","7.82599565301608e-08","85.6268341930917","0.150038225179031","18.0761356185227","0.85461969857351","82.3025233225285","189.207171289491","0.71774174614444","40.1251495084934","1.39280515967347e-05","86.0527137113328","0.13495714281048","0.87829925112838","21.7304446038886","0.137483248461266","86.6366781373597","8.05719868932141","50.6049771573867","1","27.4480198438656","0.00788304665367092"
"Bee_Amellifera_hv13_1","0","99.4742074771446","1","53.0607630569607","2.68895382135882e-09","33.8878148588905","26.9361069056666","23.2686178008958","0.00792255911363197","4535.06063146366","4505.92849691451","0.997908924351673","13.7189886757796","0.938730881163463","75.9057471767012","0.000304230346318508","0.0904850467571326","19.5454551781938","0.0509729747490781","366.907643082403","0.244513524389668","256.809574159359","0.113269545799559","25.6792456958479","0.00237358228487271"
"Bee_Amellifera_hv13_2","0","125.821602765732","1","65.8877456002322","5.60086202530318e-06","142.356274667136","0.1164389009909","47.3958443647796","0.0580390382684889","122.368403998351","713.18467720894","0.50000000185337","69.1572737864269","1.09215895059955e-06","185.394921331941","0.0256047503692987","0.445558846411583","41.9134362105425","0.899932656890206","234.080515856069","12.1795368037823","4046.45350879519","0.519884841326248","48.0417079740573","0.0420216118203295"
"Bee_Amellifera_hv15_1","0","83.7866925924615","1","53.8129787235452","0.000373040082380598","88.4404763360857","0.138535954174715","38.4187548655866","0.821426549564277","82.6872530132869","448.358427192618","0.582039729394574","53.7097674345668","0.000392796441776335","90.6359708940937","0.0940014061026547","0.660871316591927","41.5762709611795","0.169403674888036","91.9350736832641","17.9734267795175","259.945134031918","0.807601296931563","47.5834388576367","0.00840393902353054"
"Bee_Amellifera_wild_1","0","164.215370449628","1","67.8728286569761","2.13177047022881e-07","175.874883194374","0.128932721858107","37.7723596231329","0.732781074018077","162.198213374569","1830.54791474658","0.500000001955397","66.0316657643199","5.35234234971701e-07","178.998674897501","0.100346193064985","0.766277932703646","39.9451147638307","0.247267170930386","185.423090818262","2.71405753202221","18.7637384731165","1","44.9794943948627","0.0199510066402557"
"Flower_eDNA","1","12.3214614552669","1","44.2324768691381","0.122598118769391","5.64136432286416","214.009265917861","40.2963699613365","0.877401881230609",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv3_1","1","13.0987933927398","1","5.32391000543694","0.452867186280327","12.4844961081424","0.654277213154944","7.64953468355204","0.141568904537308","12.4785915604808","10.8019066747125","0.517365262959092","11.9335126390793","0.0166231712194719","27.8405708453996","6.54593056135236e-06","0.0922847627716818","5.71942184293362","0.371609278889121","196.001253326354","0.124592896984936","522.99318829615","0.120190037328804","11.8500612089742","0.0173314590737725"
