"Sample","q","Asymptote","OptDepth_0.5","OptDiversity_0.5","OptCov_0.5","OptDepth_0.1","OptDiversity_0.1","OptCov_0.1","OptDepth_0.05","OptDiversity_0.05","OptCov_0.05","OptDepth_0.01","OptDiversity_0.01","OptCov_0.01"
"Flower_eDNA","0","3571.11375496569","0.950000000000001","3548.34436813375","0.993624009652373","1.56","3562.70612316783","0.997645655564411","1.88","3564.98357075038","0.998283397103554","2.82999999999998","3567.2002865246","0.998904132237275"
"Bee_Bimpatiens_hv3_1","0","28111.7933863015","19.1200000000002","5694.98188334614","0.202583371508458","131.630000000025","7868.48292019951","0.27989971369218","301.709999999871","9038.36157467801","0.321514940383785","2038.94999999829","12410.3302358438","0.441463483503374"
"Bee_Bimpatiens_hv4_1","0","7665.58073893309","18.4700000000001","4493.45730234302","0.586186155410376","85.9800000000071","5936.84804322866","0.774481183542391","137.71000000002","6304.93442611833","0.82249925228703","294.649999999877","6680.98485373551","0.871556256632081"
"Bee_Bimpatiens_hv4_2","0","7873.6356378042","22.3200000000007","6585.76445567572","0.836432463810627","56.4199999999973","7393.10487711169","0.938969647212869","74.170000000001","7520.51610283181","0.955151654049505","122.810000000026","7637.09152588233","0.969957447511777"
"Bee_Amellifera_hv13_1","0","6975.55666824366","6.32999999999991","4265.85040477618","0.611542649233507","26.8600000000014","4687.78856741072","0.672030748277332","49.9799999999986","4848.69539727149","0.69509798685247","211.139999999953","5180.08401456513","0.742605108227069"
"Bee_Amellifera_hv13_2","0","10641.2869647245","28.7800000000017","8998.54876051282","0.845625983994482","80.3200000000042","10202.8205180476","0.958795731368733","107.960000000018","10401.3380268472","0.977451135499613","177.599999999983","10572.4712263228","0.99353313761485"
"Bee_Amellifera_hv15_1","0","10453.9758953416","41.4800000000003","8935.51942398992","0.854748424278623","90.0300000000092","10114.127957934","0.967491034912468","112.840000000021","10278.3534608911","0.983200417122762","168.009999999992","10414.5649226444","0.996230049400175"
"Bee_Amellifera_wild_1","0","14779.8900163997","16.8399999999998","6281.36826515819","0.424994249496336","105.930000000017","8025.0363306762","0.542969962683865","230.489999999935","8885.26737395199","0.601172766786012","1237.95999999902","10935.1151698824","0.739864448094591"
"Flower_eDNA","1","1634.5081509364","0.2","1577.10795665045","0.964882283240333","0.73","1586.09768387421","0.970382241878418","1.29","1590.05516702635","0.972803449230529","3.71999999999996","1595.27000222175","0.975993910650021"
"Bee_Bimpatiens_hv3_1","1","1572.7231918133","4.60999999999995","1292.38037687332","0.821746880570408","11.5499999999998","1447.40660282419","0.9203187250996","16.7399999999998","1484.06912237625","0.943630214205186","38.6600000000009","1533.06804325523","0.974785678265255"
"Bee_Bimpatiens_hv4_1","1","1428.43741839079","4.73999999999994","1371.40010915823","0.960070137831583","6.5799999999999","1414.12143688872","0.989977872801603","7.55999999999988","1421.1602968009","0.994905536990141","9.90999999999983","1426.98020580557","0.998979855493528"
"Bee_Bimpatiens_hv4_2","1","1511.73656922615","2.52999999999999","1388.05608886309","0.918186486401946","6.10999999999991","1471.42525927576","0.973334434867168","8.41999999999986","1487.80720839478","0.984170945309858","16.1299999999997","1506.09518200852","0.996268273631485"
"Bee_Amellifera_hv13_1","1","1650.85709228218","1.18","1586.98130206622","0.961307498683812","2.64999999999999","1618.61082818502","0.980466956075171","3.88999999999996","1627.34863593845","0.985759847745977","9.40999999999984","1639.54910744338","0.993150233965336"
"Bee_Amellifera_hv13_2","1","1803.07629487097","0.43","1743.37985699082","0.966891895783911","1.87","1772.88080637868","0.983253349523713","3.32999999999997","1783.10309804509","0.98892271121156","9.57999999999984","1797.31740769343","0.996806076817757"
"Bee_Amellifera_hv15_1","1","1253.08772868411","4.94999999999994","1138.33525283797","0.908424228232894","8.31999999999987","1221.06457362685","0.974444602461402","9.88999999999983","1232.32557467407","0.98343120474746","14.4399999999997","1243.02333054133","0.991968321201786"
"Bee_Amellifera_wild_1","1","1733.81960621039","1.18","1683.18711313065","0.970797138930499","2.62999999999999","1718.21946262421","0.991002441355317","3.37999999999997","1723.56592561157","0.994086074143993","6.24999999999991","1729.90852174471","0.997744237952049"
"Flower_eDNA","2","1905.70617763799","0.02","960.095193592956","0.503800221072348","0.08","960.979149851096","0.504264068158804","0.21","961.804564831517","0.504697196303167","341.719999999834","1507.98661537391","0.791300691087109"
"Bee_Bimpatiens_hv3_1","2","867.8475873907","3.16999999999998","659.730659958876","0.76019184652278","8.31999999999987","774.730893464658","0.892703862660943","12.1799999999998","802.00179168579","0.924127465857358","28.4600000000016","838.389081369293","0.966055668703328"
"Bee_Bimpatiens_hv4_1","2","809.257564863817","4.16999999999996","772.184801179942","0.954189166350131","5.29999999999993","798.156395293615","0.986282278903293","6.01999999999992","803.25608432157","0.992583967326574","7.96999999999987","808.009489611937","0.998457752752562"
"Bee_Bimpatiens_hv4_2","2","824.590142614067","2.67999999999999","769.516685483291","0.933211113879938","4.42999999999995","812.543683697872","0.985390973898856","5.20999999999993","818.116719336661","0.992149526239928","7.15999999999989","822.847105353185","0.997886177422209"
"Bee_Amellifera_hv13_1","2","957.707187593181","0.68","945.429059138919","0.987179663457347","1.04","953.956825783956","0.99608402040017","1.21","955.15358823427","0.997333632458864","1.71","956.304525370856","0.998535395535821"
"Bee_Amellifera_hv13_2","2","1032.50304874761","2.25","998.654891906722","0.96721737830998","3.33999999999997","1025.57192498753","0.993287067027562","3.81999999999996","1029.00515312543","0.996612217633238","4.93999999999994","1031.74862992201","0.999269330171462"
