"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Rosaceae"	"Plants"	0	0	0	0	0	380	0	0
"Saccharomycetaceae"	"Fungi"	0	0	0	2632	0	0	0	0
"Salicaceae"	"Plants"	0	0	0	0	0	105	0	0
"Saprolegniaceae"	"Others"	0	0	0	0	0	0	2	0
"Siphoviridae"	"Viruses"	706	0	0	0	190	38122	0	20792
"Solanaceae"	"Plants"	0	0	0	308	0	471	174	0
"Sporolactobacillaceae"	"Bacteria"	0	0	0	0	0	0	0	24
"Staphylococcaceae"	"Bacteria"	0	0	4	7	0	0	0	0
"Streptococcaceae"	"Bacteria"	0	93	69	6	0	10	459	7404
"Streptomycetaceae"	"Bacteria"	0	0	0	0	0	70	0	0
"Tenebrionidae"	"Arthropods"	0	70	212	0	0	0	0	0
"Tephritidae"	"Arthropods"	12	0	0	0	0	175	28168	0
"Teratosphaeriaceae"	"Fungi"	0	0	0	2	0	0	0	0
"Thripidae"	"Arthropods"	0	0	0	0	0	9	0	1
"Trichomonascaceae"	"Fungi"	0	2698	0	14987	146	0	0	0
"Trichuridae"	"Others"	0	151	227	52	0	1037	116	1555
"Ustilaginaceae"	"Fungi"	0	0	0	4	0	0	0	0
"Varroidae"	"Arthropods"	287	1832	2447	1295	0	0	27	1
"Vespidae"	"Arthropods"	117	23	0	0	0	0	2	0
"Vibrionaceae"	"Bacteria"	0	0	0	0	0	0	0	15
"Weeksellaceae"	"Bacteria"	984	0	0	0	0	8774	0	0
"Xanthobacteraceae"	"Bacteria"	0	0	0	0	0	0	0	17
"Xanthomonadaceae"	"Bacteria"	0	0	2722	9038	0	0	0	0
"Xylariaceae"	"Fungi"	0	0	0	1	0	0	0	0
"Yersiniaceae"	"Bacteria"	0	0	105	0	0	61	0	56
