Sample	RawRead	CleanRead	MetagenomicRead	SubsamplePercent	AssemblyGenusRichness	GenusRichness	 AssemblySpeciesRichness	SpeciesRichness	GenusHill_0.0	GenusHill_0.1	GenusHill_0.2	GenusHill_0.3	GenusHill_0.4	GenusHill_0.5	GenusHill_0.6	GenusHill_0.7	GenusHill_0.8	GenusHill_0.9	GenusHill_1.0	GenusHill_1.1	GenusHill_1.2	GenusHill_1.3	GenusHill_1.4	GenusHill_1.5	GenusHill_1.6	GenusHill_1.7	GenusHill_1.8	GenusHill_1.9	GenusHill_2.0	GenusHill_2.1	GenusHill_2.2	GenusHill_2.3	GenusHill_2.4	GenusHill_2.5	GenusHill_2.6	GenusHill_2.7	GenusHill_2.8	GenusHill_2.9	GenusHill_3.0	GenusHill_3.1	GenusHill_3.2	GenusHill_3.3	GenusHill_3.4	GenusHill_3.5	GenusHill_3.6	GenusHill_3.7	GenusHill_3.8	GenusHill_3.9	GenusHill_4.0	SpeciesHill_0.0	SpeciesHill_0.1	SpeciesHill_0.2	SpeciesHill_0.3	SpeciesHill_0.4	SpeciesHill_0.5	SpeciesHill_0.6	SpeciesHill_0.7	SpeciesHill_0.8	SpeciesHill_0.9	SpeciesHill_1.0	SpeciesHill_1.1	SpeciesHill_1.2	SpeciesHill_1.3	SpeciesHill_1.4	SpeciesHill_1.5	SpeciesHill_1.6	SpeciesHill_1.7	SpeciesHill_1.8	SpeciesHill_1.9	SpeciesHill_2.0	SpeciesHill_2.1	SpeciesHill_2.2	SpeciesHill_2.3	SpeciesHill_2.4	SpeciesHill_2.5	SpeciesHill_2.6	SpeciesHill_2.7	SpeciesHill_2.8	SpeciesHill_2.9	SpeciesHill_3.0	SpeciesHill_3.1	SpeciesHill_3.2	SpeciesHill_3.3	SpeciesHill_3.4	SpeciesHill_3.5	SpeciesHill_3.6	SpeciesHill_3.7	SpeciesHill_3.8	SpeciesHill_3.9	SpeciesHill_4.0
LF_F18	1443107	882436	882436	0.1	5	21	6	29	21.0	18.879941389080376	17.15021433883616	15.71734047136152	14.516169596761436	13.499988199543353	12.634107509602446	11.89187433709303	11.252229024485215	10.698195682049258	10.215914215169027	9.793983268944153	9.422984726601914	9.095119870469805	8.803919909560323	8.544010473296769	8.310918061228673	8.100910526503524	7.910865721020824	7.738163574251596	7.580597638180249	7.436302727343951	7.303695796699019	7.181427655472459	7.068343517230652	6.963450735844066	6.865892375453168	6.774925513396287	6.689903383186011	6.610260635518115	6.535501134519298	6.465187819194976	6.398934250978113	6.336397541421017	6.277272412800477	6.22128619152776	6.16819457206344	6.1177780193924765	6.069838702514156	6.024197871043886	5.980693602866441	29.0	26.562710960458684	24.400836855753074	22.473706598970473	20.752501250723512	19.215701299842717	17.845974268735468	16.62822179813444	15.548492074702638	14.593486812354795	13.750434821250915	13.007156725650043	12.352199251020615	11.774965463423957	11.265804758220847	10.816051853690375	10.418018792838492	10.064950640953713	9.750957067814198	9.470930719856513	9.22046088422503	8.995748406625639	8.793525626523172	8.610983397577609	8.445706059687163	8.295614439905014	8.158916482887468	8.034064855669728	7.919720762596416	7.814723189302364	7.718062831306672	7.628860027388843	7.546346094108565	7.4698475357179905	7.398772677713214	7.332600339564625	7.270870221647606	7.2131747329662455	7.159152030374712	7.10848007737362	7.060871562007637
LF_F18	1443107	882436	882436	0.2	10	26	12	33	26.0	20.337819349229623	16.116073044883038	12.941687163640344	10.536966643564556	8.70391912932269	7.299169544804499	6.217196546039311	5.379352195960984	4.726586485759663	4.214443538937516	3.809456691302309	3.4864543821215364	3.226509676865586	3.0153757902204044	2.84229991434932	2.699132011858489	2.5796607744927935	2.4791217848934513	2.393834382456093	2.3209337078406773	2.2581726574304284	2.2037750146783828	2.1563260239441093	2.114690403256389	2.077950531567365	2.045359536436556	2.0163054461210357	1.990283606640538	1.9668753117752318	1.945731133953159	1.9265578354853923	1.909108024699272	1.8931719301825498	1.8785708199215008	1.865151705800264	1.8527830585918708	1.8413513220052011	1.8307580621686323	1.820917625192446	1.811755203113531	33.0	25.234585817927744	19.094404235499365	14.299938033182185	10.639227299601222	7.925761730054772	5.976880547213202	4.614425712800345	3.6781763181423193	3.038144685167898	2.598084657394175	2.291311688775796	2.073435068517851	1.9154356131660115	1.7983900289380135	1.7098655786235102	1.6415848108643356	1.5879468368680603	1.5450954873052005	1.5103289291565458	1.4817214805524106	1.4578779635123151	1.4377717046633005	1.4206360278223389	1.4058904508160783	1.3930897333115073	1.3818881935095335	1.3720143743403033	1.3632528220832878	1.3554308177781293	1.348408601310105	1.342072088293924	1.3363273866160121	1.331096626476923	1.3263147591151196	1.3219270770149651	1.3178872765677088	1.3141559322523975	1.3106992856833324	1.3074882775374481	1.304497768288436
LF_F18	1443107	882436	882436	0.3	11	24	13	34	24.0	21.327576971270666	19.171614372650843	17.4191792404304	15.981845397761688	14.79155892333068	13.796327218147216	12.956423819759399	12.241338794183866	11.627452908406545	11.09631296794683	10.633367937556676	10.227043329230964	9.86805886787174	9.548920168635375	9.263535460395017	9.006923144178689	8.774986250436001	8.564336878363079	8.372158480328368	8.196097135186875	8.034175240596223	7.884722678289596	7.746321682621359	7.617762510757004	7.498007663684942	7.386162901491333	7.281453675513532	7.183205893112536	7.090830158728519	7.003808812900237	6.921685230455855	6.844054948760844	6.7705582833431635	6.700874156494261	6.634714918503542	6.571821984083871	6.511962140669727	6.454924412479033	6.400517385980458	6.348566919840258	34.0	31.517420175470605	29.366975246833487	27.498728095303015	25.86997997048125	24.444578468545117	23.19207694526815	22.08688780992096	21.10750641397028	20.235836786692875	19.456623499666463	18.75698050347844	18.12600281147899	17.554446509175595	17.03446420871032	16.559385313746702	16.12353261925272	15.722068582763626	15.350866026729852	15.006399114734727	14.685651261716092	14.386037259176081	14.105337375613056	13.841641569926292	13.59330225893623	13.35889432813647	13.137181280043732	12.927086585836781	12.727669449713352	12.538104316323853	12.35766355352952	12.185702828653051	12.021648768904338	11.864988557930921	11.71526117228571	11.572050005557147	11.434976665254249	11.303695759349532	11.17789051654071	11.057269107526377	10.941561554500655
LF_F18	1443107	882436	882436	0.4	12	26	16	35	26.0	19.99168405593941	15.720919012269917	12.613309134857795	10.303851818284297	8.558248187545722	7.221805023541968	6.188565462255244	5.383323932834198	4.751186809845832	4.251337628746626	3.8531026142929883	3.533300771364679	3.2743576857498593	3.0629150416676225	2.888788720457422	2.7441846835284776	2.623109594620483	2.520929042504074	2.434037124450592	2.3596095065863887	2.295418713604128	2.239695642987219	2.191025365462709	2.148268368512052	2.1105007193656653	2.0769683429480077	2.047051874955513	2.0202394769456333	1.996105678318151	1.974294806357962	1.9545079295025392	1.9364925067894552	1.9200341342274017	1.9049499255765712	1.8910831744304248	1.8782990264835877	1.866480952647666	1.855527860475467	1.845351716999515	1.8358755833884115	35.0	27.074636886073755	20.798407352228377	15.83120252926473	11.957781681855042	9.01401254202445	6.844640550253763	5.2915499805448345	4.202825152457981	3.4471325359351046	2.9219262206932157	2.553175147575968	2.290096318558644	2.098790471824343	1.9568397326845277	1.849379670833269	1.7664551346195538	1.7013042191268477	1.6492596256611631	1.6070454881829679	1.5723239967319345	1.5433996811606085	1.5190238652457355	1.4982634515917133	1.4804115561250086	1.464925747118657	1.4513847518023701	1.4394576923105122	1.4288819391235428	1.419446970155652	1.4109824684921406	1.4033494479873039	1.3964335667984822	1.3901400392927685	1.3843897278068245	1.379116113947561	1.3742629317204003	1.3697823031025156	1.3656332582899384	1.3617805528203841	1.358193715563724
LF_F18	1443107	882436	882436	0.5	10	23	13	32	23.0	18.34888383125094	14.812560694352506	12.100480068589555	10.004774708436555	8.375947932322738	7.104519025535269	6.108523016585759	5.325467105180495	4.707197561265531	4.216485725448378	3.8245882373774456	3.5093843307264314	3.2539009474784155	3.0451358206417987	2.8731263853456688	2.7302236357136613	2.6105336745873133	2.509492962162578	2.4235476733675108	2.349912647459244	2.2863904067338088	2.23123514238831	2.1830502178954934	2.1407106225866332	2.1033040152196665	2.0700856545117046	2.0404437427623607	2.01387261392354	1.9899518619075316	1.9683299922856152	1.9487115384512972	1.930846846876867	1.9145239308642605	1.8995619367553753	1.885805874381367	1.87312234434917	1.8613960556676803	1.8505269733611514	1.840427970870163	1.8310228889645588	32.0	25.051811707149984	19.290311290534888	14.613695665649976	10.935507118731193	8.152007676989903	6.1278874598976705	4.705468134954408	3.728384079601096	3.0631420454784912	2.608480763563251	2.2936216059864822	2.0714388856946377	1.9112559688201554	1.793193586284181	1.7042810645315147	1.6359420606059305	1.5824110284498227	1.5397419954700386	1.5051849574840401	1.4767891592222842	1.4531470952406076	1.4332267189997585	1.4162596947037818	1.4016657864943727	1.3890009064518716	1.3779208872885556	1.3681558612181999	1.3594918948255852	1.3517576559859423	1.3448146162024528	1.338549767867447	1.3328701517923593	1.3276987025382756	1.3229710633810365	1.318633122036874	1.314639087367545	1.3109499758830598	1.3075324113987368	1.304357665993143	1.3014008883756083
LF_F18	1443107	882436	882436	0.6	14	26	17	37	26.0	20.179598719747936	15.998600391601114	12.916482023271051	10.59520493992876	8.819362898246263	7.4463567209938475	6.377210050539664	5.540145870159885	4.881450725041574	4.360231966382642	3.9451593626086163	3.6122210251304785	3.3430462517274866	3.123600463345324	2.943161557702053	2.793523346035623	2.668383377347891	2.5628778202233744	2.4732310233039834	2.3964927860852026	2.3303417590966102	2.2729382370891447	2.2228136533263956	2.17878729279134	2.139903204577843	2.1053821415062357	2.0745847222914073	2.0469830151107327	2.022138474995326	1.9996847031602787	1.9793138880139096	1.9607660746503115	1.9438206208421813	1.9282893536598888	1.9140110568078643	1.9008470053794442	1.888677329779621	1.8773980396983014	1.866918576341159	1.8571597896404852	37.0	28.478760174290976	21.674582262846247	16.283072628375482	12.102589292645366	8.96329821599653	6.689507594369221	5.095474449713131	4.0029697401587825	3.261169475002809	2.7558201698291036	2.4070785396902346	2.1618403036842078	1.9856122582477356	1.8561077488240156	1.7588334471074378	1.6842384239745887	1.6259226855216062	1.5795191972946094	1.5419928702129087	1.5111960776226372	1.4855827459233646	1.4640215142387971	1.4456716386200672	1.4298992362878586	1.416219868819969	1.4042585880220657	1.393721733471791	1.3843767529178426	1.3760375757957448	1.3685538812670683	1.361803132023906	1.3556845958401882	1.3501148120378645	1.3450241196964894	1.340353974112243	1.3360548542128319	1.3320846171540097	1.3284071943055284	1.324991550059723	1.321810844598126
LF_F18	1443107	882436	882436	0.7	11	24	15	34	24.0	18.540766030078412	14.768515239558903	12.042161904265017	9.994474961430772	8.414265425011354	7.174663471495094	6.193613943835803	5.413531367034586	4.791289100430847	4.2933499673050655	3.8932537897116752	3.5701068729457854	3.3074905730234425	3.092575855524862	2.9153806303948757	2.7681531278580875	2.644871621145059	2.540847625178173	2.4524167403897037	2.376700768903834	2.3114260772779303	2.2547854404434196	2.2053330518608973	2.161904632440616	2.123556459640127	2.0895186460164563	2.0591591626774806	2.0319559873846154	2.0074754196839697	1.9853550986578377	1.965290624896341	1.9470249597745823	1.930339976770036	1.9150496897324507	1.9009947952640822	1.888038250617498	1.8760616720492578	1.8649623867124168	1.8546510078419447	1.8450494310641121	34.0	25.977455969981918	19.758892854190265	14.91523301939556	11.183994281235094	8.377853633170641	6.330773223020333	4.880209534723572	3.8736366593816185	3.181609965408071	2.704758006306776	2.372450920300335	2.1368965383710194	1.966556074530559	1.840767945298902	1.7459374056122454	1.6730180297310546	1.615899110376305	1.570383607470455	1.533539020094383	1.5032813912689125	1.4781053264456352	1.456906235864654	1.4388615248312537	1.4233499790529303	1.409896254183844	1.398132103855236	1.3877689265943811	1.3785780720434953	1.3703765367011118	1.3630164506424385	1.356377263149685	1.3503598720370247	1.3448821682601602	1.3398756219244397	1.3352826422859148	1.3310545185187348	1.3271498002426554	1.323533013938017	1.3201736380372064	1.3170452788028333
LF_F18	1443107	882436	882436	0.8	15	28	18	38	28.0	21.137619390808485	16.40928468882014	13.053097659392854	10.60188265664168	8.769677521659986	7.376682632829477	6.304687186018347	5.472142412501142	4.820513274159705	4.3066563505060245	3.8982997787427642	3.5711304077455104	3.3067677426983675	3.0912829929984054	2.9140915632575672	2.7671199798123665	2.6441804274835143	2.540502977696651	2.452386844560624	2.3769407344538767	2.311889417141624	2.255429296875037	2.206120170567163	2.162803718866883	2.124541787802165	2.0905693729446506	2.0602585756743323	2.0330907906884006	2.00863510405135	1.9865314054910568	1.9664771013659832	1.948216595000116	1.931532907208003	1.9162409621682575	1.9021821769829108	1.88922007781398	1.8772367290172567	1.8661298096996728	1.855810208611964	1.846200036175751	38.0	28.78554484962661	21.6556176664011	16.13686372008925	11.928012797143326	8.80380788281214	6.559373878198754	4.994986886024859	3.927036709045134	3.203744467590042	2.711722347441392	2.372416366964519	2.133863148308954	1.9624229824344452	1.8364034140044114	1.7417129388455062	1.6690704619904557	1.6122580489079164	1.5670328408502752	1.5304456213543383	1.5004090470745628	1.4754200161708289	1.454378264694542	1.4364658835305397	1.4210659947485111	1.4077069941892633	1.396023744703606	1.385730177400886	1.3765996821355235	1.368450890314078	1.3611372402132662	1.354539229126336	1.3485585970064486	1.3431139145111304	1.3381372033084966	1.333571322965769	1.3293679327168026	1.3254858883719145	1.3218899715208738	1.3185498746267272	1.3154393847514803
LF_F18	1443107	882436	882436	0.9	17	29	19	39	29.0	21.83954905316597	16.92745591418094	13.451114061207738	10.917219109950565	9.02558442555204	7.588336567127819	6.482512002936146	5.623631046413661	4.951239289432554	4.420856663688383	3.999235085224298	3.6613280415943104	3.388196994575012	3.165486622445043	2.982285834657238	2.8302708393551566	2.7030613278894493	2.595738642443439	2.5044863595159446	2.4263226070133737	2.3589006232413725	2.3003598380546477	2.2492142753732463	2.2042685284263097	2.1645541457933866	2.1292811782627457	2.0978010374143583	2.0695778383027035	2.0441661420515684	2.021193555484209	2.00034703988299	1.981362070130699	1.9640139980766003	1.948111131030186	1.933489152934704	1.9200066028911273	1.9075411911398397	1.895986782042787	1.885250911172366	1.875252732319868	39.0	29.84476996134189	22.82989421472452	17.40795373694992	13.236296877165737	10.076603539861214	7.7352296107936915	6.037988161026065	4.827992079980605	3.9722775421448957	3.3664232129221143	2.9336539147621927	2.620091402357085	2.3889385984115927	2.2153472833860386	2.082537292995183	1.9790917944061461	1.8971497264188628	1.831220154971104	1.7774081423120438	1.7329073574277465	1.69566457423515	1.6641552358937544	1.6372313424810399	1.6140169354564924	1.5938352884826246	1.5761574925533886	1.5605656672032444	1.546726301385427	1.5343706995657513	1.5232804732827308	1.5132766581895511	1.5042114659286767	1.4959619717084343	1.4884252386784924	1.4815145192711148	1.4751562713179427	1.4692877960277748	1.4638553545568362	1.458812655826436	1.454119634478336
LF_F18	1443107	882436	882436	1	20	32	23	43	32.0	23.830193005595905	18.214100317729436	14.272565946044327	11.444953011019361	9.374303193892715	7.83035284157327	6.661192821834451	5.7639460855223685	5.067155699698553	4.520099115485143	4.086141176079736	3.738460412516974	3.4572063824893724	3.2275526029433683	3.0383327130569695	2.8810698762095006	2.7492783405403616	2.637956736762914	2.543218029231071	2.4620176224709374	2.3919523846541186	2.3311111708217935	2.277962933886412	2.231272414510983	2.1900361799219343	2.1534337664684267	2.120790102510363	2.0915464100971057	2.0652375212048866	2.041474078628829	2.019928480750751	2.000323714283712	1.982424428820743	1.966029762308496	1.9509675422349404	1.9370895739893843	1.9242677931816516	1.912391108242322	1.901362797405714	1.8910983531573076	43.0	32.7104379818077	24.82142251717518	18.757049300625678	14.137894355876611	10.683379448614735	8.157241933986022	6.347976746677106	5.070396792714821	4.172740281195664	3.5393697810454245	3.087285138051765	2.7592686049110258	2.516728063862209	2.333820118604458	2.193184256002732	2.08304407850755	1.9953014343998434	1.9242996994258559	1.8660221315210603	1.8175690313191681	1.7768131829391942	1.7421698743270104	1.7124412432503588	1.6867094016741826	1.6642619877513698	1.644539567431719	1.6270979595842916	1.6115808920461674	1.5976999040268032	1.5852193965153536	1.5739453851901193	1.563716947780994	1.554399654492573	1.5458804736511	1.5380637860202249	1.530868240386601	1.524224253360375	1.518072006760742	1.5123598324668284	1.5070429013045537
