"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Bifidobacterium platyrrhinorum"	"Bacteria"	0	0	467	0	0	0	0	0
"Bifidobacterium primatium"	"Bacteria"	0	0	0	2344	0	0	0	0
"Bifidobacterium pseudocatenulatum"	"Bacteria"	0	0	0	0	0	0	0	497
"Bifidobacterium pseudolongum"	"Bacteria"	0	219	244	1015	0	559	42	1069
"Bifidobacterium psychraerophilum"	"Bacteria"	0	0	0	0	0	0	0	1210
"Bifidobacterium pullorum"	"Bacteria"	0	0	410	1767	0	0	97	0
"Bifidobacterium reuteri"	"Bacteria"	0	0	0	1328	0	0	0	0
"Bifidobacterium scardovii"	"Bacteria"	0	0	0	0	0	0	0	4140
"Bifidobacterium sp. 7101"	"Bacteria"	0	0	0	0	0	11330	0	24570
"Bifidobacterium sp. A11"	"Bacteria"	0	0	0	0	0	12950	0	21760
"Bifidobacterium sp. wkB338"	"Bacteria"	0	0	0	0	0	6444	0	12432
"Bifidobacterium sp. wkB344"	"Bacteria"	0	0	0	0	0	5754	0	13058
"Bifidobacterium subtile"	"Bacteria"	0	0	0	0	0	0	0	2093
"Bifidobacterium thermacidophilum"	"Bacteria"	0	341	0	0	0	0	0	0
"Bifidobacterium tibiigranuli"	"Bacteria"	0	367	0	0	0	973	0	0
"Bifidobacterium tissieri"	"Bacteria"	0	0	0	1003	0	0	0	0
"Bifidobacterium tsurumiense"	"Bacteria"	0	156	0	0	0	0	0	0
"Bifidobacterium xylocopae"	"Bacteria"	0	496	467	568	0	5771	171	0
"Blattodean pefuambidensovirus 1"	"Viruses"	0	0	0	0	0	0	5284	0
"Bombilactobacillus bombi"	"Bacteria"	0	5661	7966	180369	1776	500	0	2025
"Bombilactobacillus mellifer"	"Bacteria"	3008	11847	1798	0	838	245075	0	348092
"Bombilactobacillus mellis"	"Bacteria"	33038	80994	11570	7634	4298	1257592	0	1985267
"Bombiscardovia coagulans"	"Bacteria"	0	27348	19306	28614	332	209	11855	222
"Bombus bifarius"	"Arthropods"	2384	124712	87787	99060	40393	49727	156783	58267
"Bombus cryptarum densovirus"	"Viruses"	0	0	0	2962	0	0	0	0
"Bombus impatiens"	"Arthropods"	4432	10215	6914	6673	108048	140675	383698	155569
"Bombus terrestris"	"Arthropods"	632	19238	15134	16891	7119	9550	15298	11798
"Bombus vancouverensis"	"Arthropods"	2212	118579	83502	92704	40531	49539	120868	58590
"Bombus vosnesenskii"	"Arthropods"	2225	163751	111790	126586	38742	49079	169479	57930
"Brassica cretica"	"Plants"	0	0	0	0	0	0	0	1176
"Brassica napus"	"Plants"	0	0	0	0	0	0	0	13284
"Brassica oleracea"	"Plants"	0	0	0	0	0	0	0	2174
"Brochothrix thermosphacta"	"Bacteria"	0	0	0	0	0	0	6826	0
"Brucella intermedia"	"Bacteria"	0	0	0	0	0	59	0	100
"Brucella neotomae"	"Bacteria"	0	0	0	0	0	0	0	195
"Brugia timori"	"Others"	0	0	0	80	0	0	141	0
"Burkholderia vietnamiensis"	"Bacteria"	0	0	0	0	0	0	0	8
"Cajanus cajan"	"Plants"	0	0	0	0	0	5135	0	0
"Callosobruchus maculatus"	"Arthropods"	0	0	377	515	0	0	0	0
"Candidatus Schmidhempelia bombi"	"Bacteria"	0	183168	111178	112732	1296	0	4430	0
"Capsicum baccatum"	"Plants"	0	0	0	308	0	0	0	0
"Ceratina calcarata"	"Arthropods"	0	0	0	114	0	0	20	0
"Cercospora zeina"	"Fungi"	0	0	0	1	0	0	0	0
"Cicer arietinum"	"Plants"	0	0	0	0	0	4495	0	0
"Clavispora lusitaniae"	"Fungi"	0	3416	0	3180	0	0	0	0
"Cloeon dipterum"	"Arthropods"	0	0	0	0	0	0	6	0
"Commensalibacter intestini"	"Bacteria"	0	0	0	0	0	1505	0	1354
"Commensalibacter sp. AMU001"	"Bacteria"	0	0	0	0	0	6992	0	0
"Companilactobacillus nodensis"	"Bacteria"	0	0	0	0	0	0	0	38
"Companilactobacillus zhongbaensis"	"Bacteria"	0	16	0	0	0	0	0	0
"Corchorus olitorius"	"Plants"	0	0	0	0	26	0	0	0
"Corynebacterium diphtheriae"	"Bacteria"	0	0	0	0	0	0	0	2
"Corynebacterium efficiens"	"Bacteria"	0	9	13	0	0	0	0	0
"Corynebacterium glutamicum"	"Bacteria"	0	0	0	0	0	0	0	32
"Cronobacter sakazakii"	"Bacteria"	0	0	93	0	0	20	0	31
"Cupriavidus taiwanensis"	"Bacteria"	0	0	0	0	0	58	0	0
"Cutibacterium acnes"	"Bacteria"	0	0	0	0	0	0	4222	553
"Cyphomyrmex costatus"	"Arthropods"	14	0	0	0	0	19	5	0
"Daphnia magna"	"Arthropods"	1	0	0	0	0	2	0	0
"Digitaria exilis"	"Plants"	0	76	35	0	0	50	0	26
"Drosophila elegans"	"Arthropods"	0	0	0	0	0	0	5	0
"Drosophila grimshawi"	"Arthropods"	0	0	0	0	0	0	160	0
"Drosophila melanogaster"	"Arthropods"	0	0	0	0	0	0	338	0
"Drosophila miranda"	"Arthropods"	0	0	0	0	0	0	15	0
"Drosophila pseudoobscura"	"Arthropods"	0	0	0	0	0	0	49	0
"Drosophila rhopaloa"	"Arthropods"	0	0	0	0	0	0	36	0
"Drosophila yakuba"	"Arthropods"	0	0	0	0	0	0	93	0
"Dufourea novaeangliae"	"Arthropods"	0	74	101	0	4	26	0	0
"Eggerthella lenta"	"Bacteria"	0	0	0	0	0	0	0	29
"Ensete ventricosum"	"Plants"	0	0	0	0	0	19	0	9
"Enterobacter hormaechei"	"Bacteria"	0	0	143	169	0	0	0	0
"Enterococcus avium"	"Bacteria"	0	0	0	0	0	0	0	3
"Enterococcus casseliflavus"	"Bacteria"	0	0	0	0	0	0	5	0
"Enterococcus diestrammenae"	"Bacteria"	0	0	0	0	0	49	0	0
"Enterococcus faecalis"	"Bacteria"	0	2	0	0	0	0	162	6
"Enterococcus faecium"	"Bacteria"	0	0	0	0	0	0	3	36
"Entomomonas moraniae"	"Bacteria"	0	0	0	0	0	0	0	124217
"Ephemera danica"	"Arthropods"	0	202	0	0	0	76	0	53
"Escherichia coli"	"Bacteria"	48	71	89	106	14	72	100	32
"Eufriesea mexicana"	"Arthropods"	507	715	585	509	90	0	245	258
"Eumeta japonica"	"Arthropods"	272	464	0	426	43	131	9488	0
"Eutrema salsugineum"	"Plants"	0	0	0	0	0	0	0	72
"Frankliniella occidentalis"	"Arthropods"	0	0	0	0	0	9	0	1
