"Sample","q","Asymptote","OptDepth_0.5","OptDiversity_0.5","OptCov_0.5","OptDepth_0.1","OptDiversity_0.1","OptCov_0.1","OptDepth_0.05","OptDiversity_0.05","OptCov_0.05","OptDepth_0.01","OptDiversity_0.01","OptCov_0.01"
"Flower_eDNA","0.0","3034.87569668821","922.359999999306","2870.43035192589","0.945814800605584","1428.15999999885","2996.00350499582","0.987191504503857","1648.06999999865","3011.8582397942","0.992415683805724","2173.39000000102","3024.81995867376","0.996686606299749"
"Bee_Bimpatiens_hv3_1","0.0","102.814061259309","34.3700000000017","84.8132033590479","0.824918326542308","77.5300000000028","94.5243282212461","0.919371602127888","110.65000000002","96.8607816394336","0.942096639827689","257.199999999911","100.120943621236","0.973805940499894"
"Bee_Bimpatiens_hv4_1","0.0","66.45978466376","26.2700000000013","57.5096554742787","0.865330150635265","49.6099999999987","63.0802677649298","0.949149445549241","62.949999999996","64.029729249118","0.963435701350276","117.550000000023","65.2302482761326","0.981499543011642"
"Bee_Bimpatiens_hv4_2","0.0","85.7214676213002","21.8000000000006","82.3059317737817","0.960155420313058","32.790000000002","85.0343728822417","0.991984566315477","37.5400000000011","85.3767494894179","0.995978625407988","48.6199999999989","85.651635177584","0.999185356414746"
"Bee_Amellifera_hv13_1","0.0","3915.66057009103","1260.809999999","3695.29201194933","0.943721230633488","1967.07999999836","3870.81137962186","0.988546200655964","2271.39000000316","3892.761825326","0.994152009768176","2978.8900000186","3910.33998968826","0.998641204898245"
"Bee_Amellifera_hv13_2","0.0","173.033597437301","51.1799999999984","157.797075727134","0.911944720933818","97.590000000013","168.864333728249","0.975904889161409","122.300000000026","170.634752926698","0.986136539110721","190.139999999972","172.273022299611","0.995604465554932"
"Bee_Amellifera_hv15_1","0.0","88.8369039523578","23.5400000000009","84.8491943290057","0.955112014872888","36.2700000000014","87.9931547736741","0.99050226717563","41.9500000000002","88.4020490453386","0.995105019562","55.7599999999975","88.7419804317198","0.99893148549291"
"Bee_Amellifera_wild_1","0.0","177.03488725215","30.800000000002","172.629889273745","0.975117910109264","44.7899999999997","176.088282086213","0.994653002125007","50.9999999999984","176.535412297914","0.997178663697374","66.1699999999969","176.907965354152","0.999283068439406"
"Flower_eDNA","1.0","6.46033166449354","0.74","5.59217764443303","0.865617732161965","2.88999999999998","6.07200570179295","0.939890707959336","4.49999999999995","6.18567930178348","0.957486337083967","11.2999999999998","6.33751963238742","0.980989825525351"
"Bee_Bimpatiens_hv3_1","1.0","848.465868480421","0.34","10.2285769729013","0.0120553782454684","3.75999999999996","10.914057788217","0.0128632844215215","368.55999999981","29.7824448544219","0.0351015237746232","26743.369998653","682.68609775638","0.804612328105845"
"Bee_Bimpatiens_hv4_1","1.0","11.6428225261797","2.34999999999999","8.9368743296381","0.767586580448422","11.0599999999998","10.9267055598175","0.938492838420247","15.8899999999997","11.2736265645023","0.96828982312088","27.7600000000015","11.5666576678098","0.993458213573336"
"Bee_Bimpatiens_hv4_2","1.0","12.391297475532","3.85999999999996","10.0125604019141","0.808031638469255","11.3999999999998","11.7905586170251","0.951519293302971","15.4099999999997","12.0781058934202","0.97472487584692","25.5000000000012","12.3262029833071","0.994746757363107"
"Bee_Amellifera_hv13_1","1.0","7.10885753098372","0.05","6.56171306916541","0.923033418600162","0.77","6.67633634773602","0.939157427003906","1.94","6.75936207502658","0.950836621154119","5.24999999999993","6.83919440168771","0.96206660098044"
"Bee_Amellifera_hv13_2","1.0","16.008505928975","5.55999999999993","15.0166815950264","0.938043916256206","8.75999999999986","15.8096668866865","0.987579163029287","10.1399999999998","15.9088987446194","0.99377785879597","13.3499999999998","15.9884335413639","0.998746142350811"
"Bee_Amellifera_hv15_1","1.0","12.2777204293595","3.14999999999998","10.6786635681477","0.869759466310369","5.83999999999992","11.3308888079525","0.922882132163326","7.21999999999989","11.4290602845678","0.930878036385133","15.1599999999997","11.583149814708","0.94342837347961"
"Bee_Amellifera_wild_1","1.0","14.7699016785583","0.69","13.4964625962032","0.913781478707893","3.30999999999997","14.0297378248557","0.94988701551229","6.20999999999991","14.2317761595129","0.963566073034419","21.9000000000006","14.574854598752","0.986794287189504"
"Flower_eDNA","2.0","4.4037530503357","0.55","3.49650962672675","0.793984037424671","2.46999999999999","3.92410906157199","0.891082905130852","3.92999999999996","4.02719395527281","0.914491323478235","10.2399999999998","4.16740435692919","0.946330166404655"
"Bee_Bimpatiens_hv3_1","2.0","9.49637902838696","0.13","7.13507632622745","0.75134704553167","0.71","7.24871677445062","0.763313759147824","1.54","7.30543769342453","0.769286658797718","10.6399999999998","7.4808284042615","0.78775587851954"
"Bee_Bimpatiens_hv4_1","2.0","8.19537866066759","2.11","5.84542381053183","0.713258539057628","9.44999999999984","7.52498031742027","0.918198002678657","13.7999999999998","7.83610069651479","0.956160907380997","25.3500000000012","8.11879756036405","0.990655575114415"
"Bee_Bimpatiens_hv4_2","2.0","6.95452426056718","2.39999999999999","5.2679038696146","0.757478681825028","7.28999999999989","6.42278765374374","0.92354090849342","10.2199999999998","6.63097721567727","0.953476753726427","20.5500000000004","6.87167543828131","0.988087061144408"
"Bee_Amellifera_hv13_1","2.0","4.55321112315395","0.02","4.25749569492443","0.935053433668878","0.22","4.29046722970952","0.942294814288683","0.910000000000001","4.33647594235907","0.952399487980528","3.91999999999996","4.40848424941198","0.96821432834379"
