"Sample"	"q"	"Group"	"Asymptote"	"FinalDepth"	"FinalDiversity"	"ExpectedFinalDiversity"	"FinalSlope"	"ExpectedFinalCov"	"OptDepth_0.5"	"OptDiversity_0.5"	"OptCov_0.5"	"OptDepth_0.1"	"OptDiversity_0.1"	"OptCov_0.1"	"OptDepth_0.05"	"OptDiversity_0.05"	"OptCov_0.05"	"OptDepth_0.01"	"OptDiversity_0.01"	"OptCov_0.01"	"m1_a"	"m1_b"	"m1_AIC"	"m1_weight"	"m2_a"	"m2_b"	"m2_AIC"	"m2_weight"	"m3_a"	"m3_b"	"m3_c"	"m3_AIC"	"m3_weight"	"m4_a"	"m4_b"	"m4_c"	"m4_AIC"	"m4_weight"	"m5_a"	"m5_b"	"m5_c"	"m5_d"	"m5_AIC"	"m5_weight"
"LF_F18"	"0.0"	"All"	"3034.87569668821"	"0.88"	"43"	"40.0442784106636"	"10.8379691160734"	"0.0131947013363222"	"922.359999999306"	"2870.43035192589"	"0.945814800605584"	"1428.15999999885"	"2996.00350499582"	"0.987191504503857"	"1648.06999999865"	"3011.8582397942"	"0.992415683805724"	"2173.39000000102"	"3024.81995867376"	"0.996686606299749"	"103.272808968664"	"1"	"52.5191850039908"	"1.68061692635925e-07"	"36.5282780046206"	"16.2377821763648"	"27.3071515774104"	"0.0501409121883686"	"4102.26596466742"	"4073.20247371226"	"0.996801236023789"	"21.9455202705116"	"0.731906620968869"	"116.823093186138"	"0.000358609251529591"	"0.13539824591453"	"24.4612736912375"	"0.20804954084448"	"632.501246576896"	"0.207083750174447"	"543.363215393135"	"0.158287039004881"	"30.5511995525988"	"0.00990275793658908"
"LF_F18"	"1.0"	"All"	"6.46033166449354"	"0.88"	"3.53936978104542"	"5.65682741188435"	"0.427395879047444"	"0.875624922320117"	"0.74"	"5.59217764443303"	"0.865617732161965"	"2.88999999999998"	"6.07200570179295"	"0.939890707959336"	"4.49999999999995"	"6.18567930178348"	"0.957486337083967"	"11.2999999999998"	"6.33751963238742"	"0.980989825525351"	"12.3214614552669"	"1"	"44.2324768691381"	"0.122598118769391"	"5.64136432286416"	"214.009265917861"	"40.2963699613365"	"0.877401881230609"	NA	NA	NA	NA	"0"	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	"0"
"LF_F18"	"2.0"	"All"	"4.4037530503357"	"0.88"	"1.81756903131917"	"3.63206907302078"	"0.338452606244956"	"0.824766745888238"	"0.55"	"3.49650962672675"	"0.793984037424671"	"2.46999999999999"	"3.92410906157199"	"0.891082905130852"	"3.92999999999996"	"4.02719395527281"	"0.914491323478235"	"10.2399999999998"	"4.16740435692919"	"0.946330166404655"	"7.58187610154013"	"1"	"38.2232631977008"	"0.153910577763522"	"3.65023094568835"	"213.453808060332"	"35.0205319852312"	"0.763365827784892"	NA	NA	NA	NA	"0"	"5.44416081700096"	"5.98495376355423e-08"	"0.0243638202177388"	"39.4649970113787"	"0.0827235944515858"	NA	NA	NA	NA	NA	"0"
"PGcomcol3_Bimp"	"0.0"	"All"	"102.814061259309"	"53.6067142311651"	"96"	"91.0665583285923"	"0.209360027274498"	"0.8857403084089"	"34.3700000000017"	"84.8132033590479"	"0.824918326542308"	"77.5300000000028"	"94.5243282212461"	"0.919371602127888"	"110.65000000002"	"96.8607816394336"	"0.942096639827689"	"257.199999999911"	"100.120943621236"	"0.973805940499894"	"109.48642607252"	"1"	"39.2253427409851"	"0.637377354766291"	"88.8054756583231"	"0.965397777217089"	"41.2492600492701"	"0.231690683127882"	"92.6830927956367"	"73.3152099488898"	"0.515131693002136"	"44.0817766216032"	"0.0562128249900249"	"95.4356929901672"	"0.485038812754074"	"0.565593548762655"	"43.6377747609336"	"0.0701857896476939"	"120.50330611449"	"0.606183205641252"	"0.547665335552478"	"1"	"49.1171452446049"	"0.00453334746810786"
"PGcomcol3_Bimp"	"1.0"	"All"	"848.465868480421"	"53.6067142311651"	"14.255480653369"	"13.7554891935885"	"0.0527831441956329"	"0.0162121892047634"	"0.34"	"10.2285769729013"	"0.0120553782454684"	"3.75999999999996"	"10.914057788217"	"0.0128632844215215"	"368.55999999981"	"29.7824448544219"	"0.0351015237746232"	"26743.369998653"	"682.68609775638"	"0.804612328105845"	"17.4101986804196"	"1"	"21.1803366754073"	"4.02654984681546e-05"	"12.4844907438796"	"6.61793078539584"	"7.64953467805306"	"0.0349228277119975"	"971.72576668623"	"961.000508476193"	"0.999385662477611"	"1.22100703655707"	"0.869053358270132"	"26.9840640398622"	"9.31047315676146e-05"	"0.0923086660457774"	"5.71955404636013"	"0.0916641194139349"	"248.681568752511"	"0.115406593118263"	"370.288551516662"	"0.115421950201731"	"11.8295696031393"	"0.00431942910546792"
"PGcomcol3_Bimp"	"2.0"	"All"	"9.49637902838696"	"53.6067142311651"	"8.27902642598076"	"7.64239363690683"	"0.00150604082078292"	"0.804769229836117"	"0.13"	"7.13507632622745"	"0.75134704553167"	"0.71"	"7.24871677445062"	"0.763313759147824"	"1.54"	"7.30543769342453"	"0.769286658797718"	"10.6399999999998"	"7.4808284042615"	"0.78775587851954"	"10.4727572935859"	"1"	"16.3694730058958"	"0.000332336153926834"	NA	NA	NA	"0"	"7.61551413390928"	"0.22290207656339"	"0.500822852739318"	"1.85205835627255"	"0.472056656967269"	"8.93769969681426"	"2.92702956596578e-05"	"0.0174242144934183"	"1.72645877407669"	"0.502652363755346"	"56.308691272834"	"0.221232969136094"	"70.629311142356"	"0.0247334226239552"	"7.73181602496611"	"0.0249586431234587"
"PGcomcol4a_Bimp"	"0.0"	"All"	"66.45978466376"	"48.33074000605"	"63"	"62.9474633642988"	"0.107768758578884"	"0.947151178457301"	"26.2700000000013"	"57.5096554742787"	"0.865330150635265"	"49.6099999999987"	"63.0802677649298"	"0.949149445549241"	"62.949999999996"	"64.029729249118"	"0.963435701350276"	"117.550000000023"	"65.2302482761326"	"0.981499543011642"	"85.6465454087258"	"1"	"41.2283052923293"	"0.136807754671715"	"62.0990371107246"	"1.43494382566936"	"38.547019812236"	"0.522810690363013"	"65.1153019141464"	"48.3455783904009"	"0.398550188774315"	"40.5804907354482"	"0.189139335482701"	"65.7830050765544"	"0.760705489133124"	"0.557635434064571"	"41.1141784914005"	"0.14484150711809"	"67.5953037392542"	"864.713671967853"	"14067.201024068"	"0.692275838809473"	"47.3526400896433"	"0.006400712364481"
"PGcomcol4a_Bimp"	"1.0"	"All"	"11.6428225261797"	"48.33074000605"	"11.5764573665652"	"11.6373942045875"	"0.000677679247165848"	"0.999533762403405"	"2.34999999999999"	"8.9368743296381"	"0.767586580448422"	"11.0599999999998"	"10.9267055598175"	"0.938492838420247"	"15.8899999999997"	"11.2736265645023"	"0.96828982312088"	"27.7600000000015"	"11.5666576678098"	"0.993458213573336"	"17.5253737330452"	"1"	"23.0583836513798"	"5.36448485772722e-11"	"11.4921027897528"	"5.26263495624737"	"-17.1883616003129"	"0.0294440612467369"	"11.646060625025"	"3.47744918190913"	"0.150177403724308"	"-23.2944670765274"	"0.623622347248077"	"11.6485235611988"	"1.62713946929148"	"0.202852806820955"	"-22.068881189648"	"0.337900687711967"	"11.6972974096566"	"203.775028197808"	"5010.92772404558"	"0.491739202218326"	"-14.8251248948697"	"0.00903290373957385"
"PGcomcol4a_Bimp"	"2.0"	"All"	"8.19537866066759"	"48.33074000605"	"8.17662033915307"	"8.19116000255585"	"0.000509667871588674"	"0.99948523939083"	"2.11"	"5.84542381053183"	"0.713258539057628"	"9.44999999999984"	"7.52498031742027"	"0.918198002678657"	"13.7999999999998"	"7.83610069651479"	"0.956160907380997"	"25.3500000000012"	"8.11879756036405"	"0.990655575114415"	"12.322276173276"	"1"	"15.5024007680912"	"8.42843786962904e-10"	"8.09341139547854"	"4.88990549731673"	"-21.7454028855424"	"0.103277302162178"	"8.20391991059335"	"2.74234222834572"	"0.147550502556618"	"-24.9750840049553"	"0.519183914874353"	"8.21006806770192"	"1.6151232738542"	"0.226481287854199"	"-24.2673429859771"	"0.364449382985311"	"8.25213265427087"	"486.613292864701"	"25150.8393575628"	"0.504303483493205"	"-17.6141729889179"	"0.0130893991353145"
"PGcomcol4b_Bimp"	"0.0"	"All"	"85.7214676213002"	"45.726179577278"	"87"	"85.6157285529624"	"0.0151917202127692"	"0.998766480891287"	"21.8000000000006"	"82.3059317737817"	"0.960155420313058"	"32.790000000002"	"85.0343728822417"	"0.991984566315477"	"37.5400000000011"	"85.3767494894179"	"0.995978625407988"	"48.6199999999989"	"85.651635177584"	"0.999185356414746"	"114.262194484422"	"1"	"42.3370198399521"	"4.09017449741791e-06"	"85.6268326973399"	"1.4882159969708"	"18.0761356185113"	"0.758448170810812"	"85.9421939062381"	"80.6622230850108"	"0.24894015178266"	"21.8920722281067"	"0.112539712627831"	"86.0527114906789"	"1.3386284044929"	"0.878299571668708"	"21.7304446039358"	"0.122012069793818"	"86.6366713605643"	"8.05724714269556"	"5.10190065431198"	"1"	"27.4480198438925"	"0.0069959565930416"
