"Sample"	"q"	"Group"	"FinalDepth"	"FinalDiversity"	"Asymptote"	"ExpectedFinalDiversity"	"FinalSlope"	"ExpectedFinalCov"	"OptDepth_0.5"	"OptDiversity_0.5"	"OptCov_0.5"	"OptDepth_0.1"	"OptDiversity_0.1"	"OptCov_0.1"	"OptDepth_0.05"	"OptDiversity_0.05"	"OptCov_0.05"	"OptDepth_0.01"	"OptDiversity_0.01"	"OptCov_0.01"	"m1_a"	"m1_b"	"m1_AIC"	"m1_weight"	"m2_a"	"m2_b"	"m2_AIC"	"m2_weight"	"m3_a"	"m3_b"	"m3_c"	"m3_AIC"	"m3_weight"	"m4_a"	"m4_b"	"m4_c"	"m4_AIC"	"m4_weight"	"m5_a"	"m5_b"	"m5_c"	"m5_d"	"m5_AIC"	"m5_weight"
"LF_F18"	"0.0"	"All"	"1.443107"	"43"	"2686.48962790828"	"40.0478708871526"	"6.62414829224893"	"0.0149071377276577"	"1109.00999999914"	"2449.84474266376"	"0.911912972681465"	"1837.38999999847"	"2630.7412016217"	"0.97924859798175"	"2153.02000000057"	"2653.50126172219"	"0.987720642639603"	"2898.99000001686"	"2671.95880280114"	"0.994591147884515"	"79.1461956234559"	"1"	"49.9523162738687"	"6.06672794868795e-07"	"36.5282889062609"	"9.92907840268106"	"27.3071515795599"	"0.0501521498545126"	"3623.56042194223"	"3594.49735030626"	"0.997782455122875"	"21.9461724872339"	"0.731831962466803"	"110.662360312692"	"0.000327060973106105"	"0.135393191594494"	"24.4614315062232"	"0.208079749784332"	"985.722504762081"	"0.130121457789687"	"874.79253288786"	"0.156943411787288"	"30.5450396549415"	"0.00993553122155671"
"LF_F18"	"1.0"	"All"	"1.443107"	"3.53936978104542"	"6.22123841760325"	"5.65779271959643"	"0.230920368035581"	"0.90943190725298"	"0.66"	"5.39304112655708"	"0.866875815480283"	"2.70999999999999"	"5.8506703574586"	"0.940435000996569"	"4.24999999999995"	"5.95937032176769"	"0.957907400704242"	"10.7299999999998"	"6.10403402688401"	"0.981160601338215"	"9.75652827864368"	"1"	"43.9118490064528"	"0.140911548029434"	"5.64136428949771"	"125.852649412542"	"40.2963699805446"	"0.859088451970566"	NA	NA	NA	NA	"0"	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	"0"
"LF_F18"	"2.0"	"All"	"1.443107"	"1.81756903131917"	"4.09957464348406"	"3.63556624454531"	"0.190167376614241"	"0.886815477387087"	"0.51"	"3.34978623725191"	"0.817105804519531"	"2.36999999999999"	"3.76361604009814"	"0.91805037531884"	"3.75999999999996"	"3.86172159864991"	"0.941981043030355"	"9.64999999999984"	"3.99326661593377"	"0.974068522518731"	"6.05228094351894"	"1"	"37.9588990422606"	"0.187066744583781"	"3.65023097567121"	"138.579402982447"	"35.0205319753846"	"0.812933255416219"	NA	NA	NA	NA	"0"	NA	NA	NA	NA	"0"	NA	NA	NA	NA	NA	"0"
"PGcomcol3_Bimp"	"0.0"	"All"	"63.97375"	"96"	"90.7886290654378"	"89.0005711487319"	"0.075148385660571"	"0.98030526581234"	"34.1900000000018"	"82.5159624202117"	"0.908879925488648"	"59.0699999999968"	"88.5747914895819"	"0.975615475212648"	"71.3199999999996"	"89.4532444925068"	"0.985291279462227"	"105.740000000017"	"90.277397455069"	"0.994368990746624"	"79.6373700141769"	"1"	"58.3743995831221"	"0.00014446028206313"	"88.80548603969"	"0.0799886908336618"	"41.2492600495629"	"0.75583197255607"	"80.0775252214007"	"3562.88051862344"	"0.50000000966848"	"57.1134337748712"	"0.000271371168505751"	"95.4356782656753"	"0.0401882895728433"	"0.565593864562106"	"43.6377747608804"	"0.228963301967209"	"120.502600491448"	"0.606195652788644"	"6.61000231725318"	"1"	"49.1171452445924"	"0.0147888940261524"
"PGcomcol3_Bimp"	"1.0"	"All"	"63.97375"	"14.255480653369"	"18.6075839795625"	"12.9638118213646"	"0.00880809222476096"	"0.696695059154552"	"3.78999999999996"	"10.3898407313396"	"0.558365919119387"	"9.55999999999984"	"11.6607833964721"	"0.626668320254776"	"15.1999999999997"	"12.0527152072387"	"0.647731334733017"	"56.9099999999972"	"12.897605990847"	"0.693137056643839"	"12.9990053618024"	"1"	"5.39966115542422"	"0.451514433445275"	"12.4844911587854"	"0.548331835724347"	"7.64953467838288"	"0.146594544994962"	"12.4746993409442"	"23.8338655464285"	"0.500000000749365"	"11.9477924418223"	"0.0170908237541468"	"27.7936038248634"	"5.59851628422482e-06"	"0.0923051299727843"	"5.71942736996506"	"0.384800197805617"	NA	NA	NA	NA	NA	"0"
"PGcomcol3_Bimp"	"2.0"	"All"	"63.97375"	"8.27902642598076"	"8.5173838711479"	"7.7355214477457"	"0.00193779181498612"	"0.908203923266778"	"2.33999999999999"	"6.0750975331004"	"0.713258627884485"	"6.5699999999999"	"7.01432817413355"	"0.823530825925804"	"9.82999999999983"	"7.24418213208993"	"0.850517276393886"	"24.450000000001"	"7.56661923688904"	"0.888373631077083"	"7.88739849537995"	"1"	"0.122880035147489"	"0.679916066828377"	NA	NA	NA	"0"	NA	NA	NA	NA	"0"	"8.77816343897355"	"6.8371393153805e-06"	"0.0174296287296598"	"1.72649785605813"	"0.304953848560183"	"31.5715474779729"	"0.396985317747952"	"36.4942040194545"	"0.0266063013287817"	"7.73344851382033"	"0.0151300846114402"
"PGcomcol4a_Bimp"	"0.0"	"All"	"58.988182"	"63"	"62.930056425966"	"62.0632656621373"	"0.0514588201296779"	"0.986226124477602"	"27.7300000000015"	"56.0765973231223"	"0.891094025779137"	"49.2799999999988"	"61.3571426224713"	"0.975005364799806"	"59.4199999999967"	"62.0855805955885"	"0.986580723451743"	"86.0000000000071"	"62.730824783966"	"0.996834078128717"	"55.960357608823"	"1"	"51.0207915421989"	"0.00151430172437381"	"62.0990376229051"	"0.0865286810064385"	"38.5470198122436"	"0.774207781941842"	"55.4139154180135"	"1357.45562512866"	"0.500000007842979"	"54.1964224491621"	"0.000309480241557203"	"65.7835413708521"	"0.0458686170711678"	"0.557617200691817"	"41.1141784937198"	"0.21448953492427"	"67.5950369776216"	"944.46208082616"	"265204.523836304"	"0.692234818068071"	"47.3525635936206"	"0.00947890116795639"
"PGcomcol4a_Bimp"	"1.0"	"All"	"58.988182"	"11.5764573665652"	"11.7445624244644"	"11.6309699189936"	"0.00214023092885261"	"0.990328076826926"	"3.76999999999996"	"9.2303672527737"	"0.785926875704323"	"10.6399999999998"	"10.7644789476107"	"0.916550021922304"	"15.5299999999997"	"11.1113728791361"	"0.946086578414419"	"32.3900000000021"	"11.5050865583081"	"0.979609639124783"	"11.829232582405"	"1"	"-22.7647691213265"	"0.559308352516078"	"11.4921032472885"	"0.317342310098514"	"-17.1883615999963"	"0.0344151603424475"	"11.4327907983695"	"86.5129110471904"	"0.500000001210895"	"-9.58875350464521"	"0.000770044577656335"	"11.6485263244151"	"0.0981169623027285"	"0.202850300650018"	"-22.0688811775457"	"0.394949126802005"	"11.6973106809597"	"202.159796212953"	"81724.7566218482"	"0.491755273132639"	"-14.8250053636338"	"0.0105573157618131"
"PGcomcol4a_Bimp"	"2.0"	"All"	"58.988182"	"8.17662033915307"	"8.24344642999203"	"8.17450729527104"	"0.0013533693681237"	"0.991637097989722"	"3.15999999999998"	"6.04358692669372"	"0.733138375801825"	"9.26999999999985"	"7.42530842837922"	"0.900752918265327"	"13.3799999999998"	"7.71729388292599"	"0.936173231483406"	"27.8700000000016"	"8.0533205971441"	"0.976936123202524"	"8.30677744503707"	"1"	"-24.6488815212416"	"0.477459907341043"	"8.09341194515161"	"0.294866168540045"	"-21.7454028839766"	"0.111803277281512"	"8.03950275311899"	"68.3324834512716"	"0.500000001145999"	"-13.7587249441176"	"0.00206143409692932"	"8.21005873461406"	"0.0973992752171147"	"0.226493004711604"	"-24.2673429821168"	"0.394536210001412"	"8.25259815303824"	"193.67738383002"	"64701.8247855798"	"0.505997638610127"	"-17.6098192367852"	"0.0141391712791026"
"PGcomcol4b_Bimp"	"0.0"	"All"	"54.955553"	"87"	"85.6933434984617"	"85.5922090306935"	"0.0121676195952235"	"0.998819809524994"	"24.610000000001"	"81.6234300292691"	"0.952506072198411"	"37.7100000000011"	"84.8747875804277"	"0.990447847118385"	"43.3699999999999"	"85.2826148570348"	"0.995206994794943"	"56.5699999999973"	"85.6101018333414"	"0.999028609904551"	"81.3797336301783"	"1"	"51.6238428690516"	"4.43595077636506e-08"	"85.6268331601202"	"0.125057706522066"	"18.0761356185131"	"0.854631287576692"	"80.9113535865278"	"1725.5770336186"	"0.500000004372729"	"47.2169451931721"	"4.01728265648474e-07"	"86.0527096113199"	"0.112487610348502"	"0.878299853667579"	"21.7304446039891"	"0.137485112784475"	"86.6366763789824"	"8.05721148901082"	"60.7135267496381"	"1"	"27.4480198438673"	"0.00788315355106039"
