"Name"	"Group"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_Bimpatiens_hv4_2"	"Flower_eDNA"
"Bifidobacterium platyrrhinorum"	"Bacteria"	0	0	0	0	0	467	0	0
"Bifidobacterium primatium"	"Bacteria"	0	0	0	0	0	0	2344	0
"Bifidobacterium pseudocatenulatum"	"Bacteria"	0	0	0	497	0	0	0	0
"Bifidobacterium pseudolongum"	"Bacteria"	0	559	42	1069	219	244	1015	0
"Bifidobacterium psychraerophilum"	"Bacteria"	0	0	0	1210	0	0	0	0
"Bifidobacterium pullorum"	"Bacteria"	0	0	97	0	0	410	1767	0
"Bifidobacterium reuteri"	"Bacteria"	0	0	0	0	0	0	1328	0
"Bifidobacterium scardovii"	"Bacteria"	0	0	0	4140	0	0	0	0
"Bifidobacterium sp. 7101"	"Bacteria"	0	11330	0	24570	0	0	0	0
"Bifidobacterium sp. A11"	"Bacteria"	0	12950	0	21760	0	0	0	0
"Bifidobacterium sp. wkB338"	"Bacteria"	0	6444	0	12432	0	0	0	0
"Bifidobacterium sp. wkB344"	"Bacteria"	0	5754	0	13058	0	0	0	0
"Bifidobacterium subtile"	"Bacteria"	0	0	0	2093	0	0	0	0
"Bifidobacterium thermacidophilum"	"Bacteria"	0	0	0	0	341	0	0	0
"Bifidobacterium tibiigranuli"	"Bacteria"	0	973	0	0	367	0	0	0
"Bifidobacterium tissieri"	"Bacteria"	0	0	0	0	0	0	1003	0
"Bifidobacterium tsurumiense"	"Bacteria"	0	0	0	0	156	0	0	0
"Bifidobacterium xylocopae"	"Bacteria"	0	5771	171	0	496	467	568	0
"Blattodean pefuambidensovirus 1"	"Viruses"	0	0	5284	0	0	0	0	0
"Bombilactobacillus bombi"	"Bacteria"	1776	500	0	2025	5661	7966	180369	0
"Bombilactobacillus mellifer"	"Bacteria"	838	245075	0	348092	11847	1798	0	3008
"Bombilactobacillus mellis"	"Bacteria"	4298	1257592	0	1985267	80994	11570	7634	33038
"Bombiscardovia coagulans"	"Bacteria"	332	209	11855	222	27348	19306	28614	0
"Bombus bifarius"	"Arthropods"	40393	49727	156783	58267	124712	87787	99060	2384
"Bombus cryptarum densovirus"	"Viruses"	0	0	0	0	0	0	2962	0
"Bombus impatiens"	"Arthropods"	108048	140675	383698	155569	10215	6914	6673	4432
"Bombus terrestris"	"Arthropods"	7119	9550	15298	11798	19238	15134	16891	632
"Bombus vancouverensis"	"Arthropods"	40531	49539	120868	58590	118579	83502	92704	2212
"Bombus vosnesenskii"	"Arthropods"	38742	49079	169479	57930	163751	111790	126586	2225
"Brassica cretica"	"Plants"	0	0	0	1176	0	0	0	0
"Brassica napus"	"Plants"	0	0	0	13284	0	0	0	0
"Brassica oleracea"	"Plants"	0	0	0	2174	0	0	0	0
"Brochothrix thermosphacta"	"Bacteria"	0	0	6826	0	0	0	0	0
"Brucella intermedia"	"Bacteria"	0	59	0	100	0	0	0	0
"Brucella neotomae"	"Bacteria"	0	0	0	195	0	0	0	0
"Brugia timori"	"Others"	0	0	141	0	0	0	80	0
"Burkholderia vietnamiensis"	"Bacteria"	0	0	0	8	0	0	0	0
"Cajanus cajan"	"Plants"	0	5135	0	0	0	0	0	0
"Callosobruchus maculatus"	"Arthropods"	0	0	0	0	0	377	515	0
"Candidatus Schmidhempelia bombi"	"Bacteria"	1296	0	4430	0	183168	111178	112732	0
"Capsicum baccatum"	"Plants"	0	0	0	0	0	0	308	0
"Ceratina calcarata"	"Arthropods"	0	0	20	0	0	0	114	0
"Cercospora zeina"	"Fungi"	0	0	0	0	0	0	1	0
"Cicer arietinum"	"Plants"	0	4495	0	0	0	0	0	0
"Clavispora lusitaniae"	"Fungi"	0	0	0	0	3416	0	3180	0
"Cloeon dipterum"	"Arthropods"	0	0	6	0	0	0	0	0
"Commensalibacter intestini"	"Bacteria"	0	1505	0	1354	0	0	0	0
"Commensalibacter sp. AMU001"	"Bacteria"	0	6992	0	0	0	0	0	0
"Companilactobacillus nodensis"	"Bacteria"	0	0	0	38	0	0	0	0
"Companilactobacillus zhongbaensis"	"Bacteria"	0	0	0	0	16	0	0	0
"Corchorus olitorius"	"Plants"	26	0	0	0	0	0	0	0
"Corynebacterium diphtheriae"	"Bacteria"	0	0	0	2	0	0	0	0
"Corynebacterium efficiens"	"Bacteria"	0	0	0	0	9	13	0	0
"Corynebacterium glutamicum"	"Bacteria"	0	0	0	32	0	0	0	0
"Cronobacter sakazakii"	"Bacteria"	0	20	0	31	0	93	0	0
"Cupriavidus taiwanensis"	"Bacteria"	0	58	0	0	0	0	0	0
"Cutibacterium acnes"	"Bacteria"	0	0	4222	553	0	0	0	0
"Cyphomyrmex costatus"	"Arthropods"	0	19	5	0	0	0	0	14
"Daphnia magna"	"Arthropods"	0	2	0	0	0	0	0	1
"Digitaria exilis"	"Plants"	0	50	0	26	76	35	0	0
"Drosophila elegans"	"Arthropods"	0	0	5	0	0	0	0	0
"Drosophila grimshawi"	"Arthropods"	0	0	160	0	0	0	0	0
"Drosophila melanogaster"	"Arthropods"	0	0	338	0	0	0	0	0
"Drosophila miranda"	"Arthropods"	0	0	15	0	0	0	0	0
"Drosophila pseudoobscura"	"Arthropods"	0	0	49	0	0	0	0	0
"Drosophila rhopaloa"	"Arthropods"	0	0	36	0	0	0	0	0
"Drosophila yakuba"	"Arthropods"	0	0	93	0	0	0	0	0
"Dufourea novaeangliae"	"Arthropods"	4	26	0	0	74	101	0	0
"Eggerthella lenta"	"Bacteria"	0	0	0	29	0	0	0	0
"Ensete ventricosum"	"Plants"	0	19	0	9	0	0	0	0
"Enterobacter hormaechei"	"Bacteria"	0	0	0	0	0	143	169	0
"Enterococcus avium"	"Bacteria"	0	0	0	3	0	0	0	0
"Enterococcus casseliflavus"	"Bacteria"	0	0	5	0	0	0	0	0
"Enterococcus diestrammenae"	"Bacteria"	0	49	0	0	0	0	0	0
"Enterococcus faecalis"	"Bacteria"	0	0	162	6	2	0	0	0
"Enterococcus faecium"	"Bacteria"	0	0	3	36	0	0	0	0
"Entomomonas moraniae"	"Bacteria"	0	0	0	124217	0	0	0	0
"Ephemera danica"	"Arthropods"	0	76	0	53	202	0	0	0
"Escherichia coli"	"Bacteria"	14	72	100	32	71	89	106	48
"Eufriesea mexicana"	"Arthropods"	90	0	245	258	715	585	509	507
"Eumeta japonica"	"Arthropods"	43	131	9488	0	464	0	426	272
"Eutrema salsugineum"	"Plants"	0	0	0	72	0	0	0	0
"Frankliniella occidentalis"	"Arthropods"	0	9	0	1	0	0	0	0
"Frieseomelitta varia"	"Arthropods"	0	133	0	91	216	181	188	109
"Frischella perrara"	"Bacteria"	368	157561	0	543419	15073	1990	3425	1760
"Fructilactobacillus sanfranciscensis"	"Bacteria"	0	0	110	0	0	0	0	0
"Fructobacillus durionis"	"Bacteria"	0	0	12883	0	0	0	0	0
"Fructobacillus ficulneus"	"Bacteria"	0	0	3538	0	0	0	0	0
"Fructobacillus fructosus"	"Bacteria"	786	0	655382	0	0	0	0	2410
"Fructobacillus pseudoficulneus"	"Bacteria"	0	0	4217	0	0	0	0	0
"Fructobacillus tropaeoli"	"Bacteria"	0	0	137409	0	0	0	0	0
"Gilliamella apicola"	"Bacteria"	2164	746755	0	1161557	53639	24181	30205	6566
"Gilliamella apis"	"Bacteria"	0	523214	0	1354903	39822	0	0	772
"Gilliamella bombi"	"Bacteria"	0	0	0	13263	0	0	0	0
"Gilliamella bombicola"	"Bacteria"	0	0	0	11347	0	0	0	0
"Gilliamella sp. A7"	"Bacteria"	0	16384	0	0	0	0	0	0
"Gluconacetobacter diazotrophicus"	"Bacteria"	0	21	0	36	0	0	0	0
"Glycine max"	"Plants"	0	5290	0	0	0	0	0	0
"Glycine soja"	"Plants"	0	4979	0	0	0	0	0	0
"Grifola frondosa"	"Fungi"	0	0	0	0	102	0	0	0
"Habropoda laboriosa"	"Arthropods"	0	142	177	42	0	0	0	0
"Haemophilus influenzae"	"Bacteria"	0	0	0	97	0	0	0	0
"Halomonas urmiana"	"Bacteria"	0	0	0	13	0	0	0	0
"Harpegnathos saltator"	"Arthropods"	3	36	0	0	0	0	0	0
"Helianthus annuus"	"Plants"	0	0	0	0	2384	0	5151	0
"Hemipteran scindoambidensovirus 1"	"Viruses"	898	0	180950	0	0	0	0	2772
"Hepatospora eriocheir"	"Fungi"	0	4	0	0	0	0	0	0
"Homo sapiens"	"Others"	0	0	5192	0	0	0	0	0
"Hortaea thailandica"	"Fungi"	0	0	0	0	0	0	2	0
"Hymenopteran scindoambidensovirus 1"	"Viruses"	0	0	7922	0	0	0	0	0
"Ignatzschineria cameli"	"Bacteria"	0	0	0	252	0	0	0	0
"Ignelater luminosus"	"Arthropods"	0	0	9	0	0	0	0	0
"Ipomoea triloba"	"Plants"	0	69	0	0	0	0	0	0
"Kaistia granuli"	"Bacteria"	0	0	0	12	0	0	0	0
"Klebsiella aerogenes"	"Bacteria"	0	46	0	0	40	0	0	0
"Klebsiella pneumoniae"	"Bacteria"	0	868	0	1511	128	0	0	0
"Kosakonia radicincitans"	"Bacteria"	0	59	0	24	0	0	121	0
"Kuraishia capsulata"	"Fungi"	0	0	0	0	0	0	2	0
"Lacticaseibacillus paracasei"	"Bacteria"	0	3	22	0	0	0	7	0
