# phylum
Name	Group	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
Pasteurellaceae	Bacteria	0	0	97	0	0	0	0
Patellariaceae	Fungi	0	0	0	0	0	40	0
Pectobacteriaceae	Bacteria	0	0	52	0	0	0	0
Phyllobacteriaceae	Bacteria	0	0	125	0	0	0	0
Plasmodiidae	Others	0	3162	0	0	0	0	0
Poaceae	Plants	50	0	26	76	35	0	0
Propionibacteriaceae	Bacteria	0	21240	553	4	0	0	0
Pseudomonadaceae	Bacteria	75	0	236614	3070	0	0	0
Psychidae	Arthropods	131	9488	0	464	0	426	272
Pteromalidae	Arthropods	10	0	21	0	0	0	0
Rhizobiaceae	Bacteria	75	0	194	0	0	0	0
Rhodospirillaceae	Bacteria	28	0	29	0	0	0	0
Rosaceae	Plants	380	0	0	0	0	0	0
Saccharomycetaceae	Fungi	0	0	0	0	0	2632	0
Salicaceae	Plants	105	0	0	0	0	0	0
Saprolegniaceae	Others	0	2	0	0	0	0	0
Siphoviridae	Viruses	38122	0	20792	0	0	0	706
Solanaceae	Plants	471	174	0	0	0	308	0
Sporolactobacillaceae	Bacteria	0	0	24	0	0	0	0
Staphylococcaceae	Bacteria	0	0	0	0	4	7	0
Streptococcaceae	Bacteria	10	459	7404	93	69	6	0
Streptomycetaceae	Bacteria	70	0	0	0	0	0	0
Tenebrionidae	Arthropods	0	0	0	70	212	0	0
Tephritidae	Arthropods	175	28168	0	0	0	0	12
Teratosphaeriaceae	Fungi	0	0	0	0	0	2	0
Thripidae	Arthropods	9	0	1	0	0	0	0
Trichomonascaceae	Fungi	0	0	0	2698	0	14987	0
Trichuridae	Others	1037	116	1555	151	227	52	0
Ustilaginaceae	Fungi	0	0	0	0	0	4	0
Varroidae	Arthropods	0	27	1	1832	2447	1295	287
Vespidae	Arthropods	0	2	0	23	0	0	117
Vibrionaceae	Bacteria	0	0	15	0	0	0	0
Weeksellaceae	Bacteria	8774	0	0	0	0	0	984
Xanthobacteraceae	Bacteria	0	0	17	0	0	0	0
Xanthomonadaceae	Bacteria	0	0	0	0	2722	9038	0
Xylariaceae	Fungi	0	0	0	0	0	1	0
Yersiniaceae	Bacteria	61	0	56	0	105	0	0

# genus
