KEGG_KO	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
K00001	11601	6590	22291	3035	846	2443	224
K00002	115	37	291	23	0	18	0
K00003	5097	1935	11099	1419	623	1755	61
K00004	6449	297	12653	349	63	199	126
K00005	5429	337	10326	903	372	701	116
K00006	23	0	47	13	16	102	0
K00007	258	16	135	4	0	6	2
K00008	3510	657	6743	426	77	361	143
K00009	1914	57	2855	154	65	78	49
K00010	3661	64	7641	290	54	107	68
K00011	206	39	497	11	0	9	2
K00012	2548	164	8288	251	38	44	21
K00013	7590	2098	15852	1959	760	2143	163
K00014	7202	1476	14097	1739	683	1242	190
K00015	4452	194	8848	981	238	757	115
K00016	9900	2935	19575	2334	698	2508	297
K00018	2912	89	5461	458	172	397	46
K00019	233	38	1183	160	22	308	2
K00020	5074	135	9308	512	140	432	139
K00021	135	10	205	5	8	125	0
K00022	0	16	0	0	0	0	0
K00023	12	30	18	4	22	8	0
K00024	3460	350	7968	1123	504	1437	45
K00025	402	4	361	9	8	4	0
K00026	7	0	0	20	6	114	0
K00027	9227	6278	20250	909	181	542	251
K00028	0	5	0	0	0	2	0
K00029	8031	284	18268	583	115	263	85
K00030	265	28	257	43	6	151	9
K00031	5754	207	12508	1004	422	1370	117
K00032	26	12	5	14	5	24	0
K00033	13695	2970	26062	3873	1544	4182	273
K00034	1272	919	2019	91	41	224	20
K00035	8	12	0	0	0	0	0
K00036	11246	5133	22832	3113	1392	3083	280
K00038	91	21	228	0	0	13	0
K00039	1	0	0	8	0	0	0
K00040	7958	208	14010	547	267	1121	211
K00041	3639	21	7977	204	88	653	94
K00042	1851	32	3264	205	16	40	26
K00043	1053	10	943	20	0	12	0
K00045	154	44	92	9	0	0	0
K00046	1627	12	3539	71	40	33	20
K00048	1465	0	2716	123	43	521	24
K00049	4	30	6	2	0	0	0
K00050	8	20	15	0	20	6	0
K00052	8580	2105	21163	1543	673	1446	149
K00053	6100	1207	13294	1503	898	1810	137
K00054	7307	2784	13749	1444	508	1600	191
K00055	3146	24	6282	302	52	250	102
K00057	8313	2313	17008	2235	713	1965	173
K00058	7740	3128	16795	1289	543	831	200
K00059	11848	3613	23532	954	335	1426	240
K00060	300	1476	1032	200	30	344	16
K00062	0	0	0	2	0	30	0
K00063	0	0	0	0	0	4	0
K00064	4	6	1	0	0	0	0
K00065	1316	14	2683	222	42	350	25
K00066	118	10	313	16	0	0	0
K00067	2740	157	4209	1240	629	2152	53
K00068	1378	68	2833	160	105	142	10
K00069	0	0	4	0	0	0	0
K00070	2	21	0	0	0	0	0
K00073	1526	26	1633	40	28	10	19
K00074	6564	176	13989	595	91	1002	136
K00075	8689	2072	19296	2416	989	1978	173
K00076	2	1	9	0	3	0	0
K00077	5186	2893	8750	286	89	444	91
K00078	3	4	11	0	0	11	0
K00079	17	0	0	0	0	0	0
K00082	14	0	0	4	6	9	0
K00083	7	2	40	0	0	2	0
K00086	689	8	1585	43	18	163	10
K00087	4	0	0	4	0	0	0
K00088	15125	4459	32200	3665	1823	3931	301
K00090	399	61	683	262	33	247	0
K00091	1205	49	2509	46	20	18	8
K00094	328	0	645	23	4	2	8
K00096	1009	88	1273	50	25	28	21
K00097	2005	45	4735	192	77	453	24
K00098	641	254	1178	37	0	2	26
K00099	5627	135	10888	540	214	439	91
K00100	0	3	6	0	0	2	0
K00101	3019	92	5145	295	95	218	19
K00102	3857	69	8459	204	39	47	31
K00103	22	4	7	14	2	21	0
K00104	4123	142	9627	380	144	379	104
K00105	2254	62	5875	278	69	328	71
K00106	2	16	2	42	8	100	0
K00107	6	0	0	12	2	21	0
K00108	282	164	963	18	41	46	2
K00109	0	12	0	0	0	0	0
K00111	4475	273	9924	465	89	480	105
K00112	6	30	4	2	0	0	4
K00113	10	16	4	0	10	0	0
K00114	7	70	12	0	0	4	0
K00115	23	33	92	6	2	0	0
K00116	425	47	818	171	124	175	2
K00117	2023	150	3264	805	374	443	53
K00121	3739	163	6484	634	199	1028	84
K00122	8	10	0	22	3	3	0
K00123	10525	213	18770	2953	1535	2068	226
K00124	3360	38	7198	835	388	580	72
K00125	8	0	0	0	0	0	0
K00127	1308	46	2575	213	102	117	26
K00128	3891	927	10793	291	111	668	65
K00129	1	39	191	56	38	116	3
K00130	479	55	2678	52	60	38	4
K00131	34	7	8	6	12	4	0
K00132	3	13	12	0	1	0	0
K00133	11941	3879	24417	2952	1269	2409	250
K00134	11496	2390	23299	2885	1231	2836	351
K00135	15460	452	34187	1390	551	1765	300
K00137	34	4	16	0	8	6	0
K00138	87	94	389	19	12	16	0
K00139	10	6	12	0	0	0	0
K00140	1340	181	2321	173	34	54	61
K00141	280	20	226	2	4	5	8
K00142	0	12	4	0	0	0	0
K00143	0	0	4	59	5	59	0
K00145	4778	1451	10766	1180	464	1108	60
K00146	31	88	346	7	4	28	4
K00147	6242	1983	12303	1219	498	1456	116
K00148	784	60	991	71	47	72	4
K00149	4	0	4	0	0	0	0
K00151	431	30	2708	39	5	12	0
K00153	2702	80	5714	526	150	753	65
K00154	78	10	65	2	1	41	0
K00156	10786	1841	22087	3444	1299	3232	231
K00157	0	2	2	8	0	4	0
K00158	14140	4898	28569	4870	1646	3849	402
K00161	2428	231	4595	179	43	268	49
K00162	3974	125	8206	219	52	190	47
K00163	4323	267	9290	1343	812	957	101
K00164	5358	429	12589	545	140	473	74
K00166	5	144	4	0	20	12	0
K00167	28	86	0	0	0	0	0
K00169	931	103	606	43	12	0	12
K00170	0	24	3	0	0	0	0
K00174	23	190	12	0	0	8	0
K00175	8	56	0	0	0	0	0
K00179	4	9	0	0	16	20	0
K00182	6	0	0	0	1	0	0
K00184	56	0	7	7	2	0	10
K00185	48	8	15	7	4	0	8
K00187	4	0	0	0	0	0	0
K00196	4	16	14	345	110	232	0
K00197	8	0	8	0	0	0	0
K00198	0	24	0	0	0	0	0
K00201	0	0	4	0	0	0	0
K00207	50	12	363	82	0	0	0
K00208	3696	266	7804	428	137	234	54
K00209	12	8	18	44	24	27	1
K00210	3215	227	8827	1289	459	1122	58
K00211	0	2	0	38	4	43	0
K00213	1	0	4	0	0	0	0
K00215	8358	1989	15956	1816	542	1473	214
K00216	643	4	743	40	10	54	10
K00217	2	0	31	0	0	0	0
K00218	20	0	1	12	0	18	0
K00219	764	108	1007	36	115	64	17
K00220	1412	56	4164	96	52	16	4
K00222	8	8	0	8	0	14	0
K00223	0	4	0	29	8	48	0
K00226	3453	2809	6507	503	97	542	63
K00227	1	0	2	3	0	30	0
K00228	1357	29	4213	127	40	175	0
K00230	301	32	764	70	28	30	1
K00231	36	123	6	16	8	16	0
K00232	12	69	4	15	22	207	0
K00234	28	63	79	28	8	190	4
K00235	18	14	35	4	4	50	0
K00236	1	0	0	4	0	30	0
K00237	0	0	0	2	0	23	0
K00239	11331	1001	22571	1984	655	2056	207
K00240	3497	89	7601	787	254	606	43
K00241	626	117	1215	44	22	32	0
K00242	566	28	1212	49	29	26	8
K00243	1558	1478	3113	156	100	144	64
K00244	24838	1177	53180	4083	1534	3145	849
K00245	4	6	0	0	2	0	0
K00246	102	21	236	20	6	4	1
K00247	202	0	503	63	47	49	0
K00248	665	29	806	26	8	4	9
K00249	336	102	402	26	38	38	7
K00252	700	87	798	37	48	65	9
K00253	71	17	0	0	0	32	0
K00254	1387	2787	3986	99	32	112	16
K00255	36	4	4	0	0	0	0
K00256	12	14	0	0	4	41	0
K00257	12	10	0	0	0	0	0
K00259	9	142	37	4	0	0	0
K00260	6	24	0	4	8	10	0
K00261	53	38	20	19	15	46	0
K00262	3686	195	7114	1724	676	1972	45
K00263	0	44	0	0	0	4	0
K00264	13	13	34	55	9	295	0
K00265	25802	792	54771	6089	2568	6251	389
K00266	8629	342	19389	2709	1298	2769	159
K00271	2	0	0	0	0	0	0
K00272	1	0	8	6	0	52	0
K00273	5	16	33	6	2	58	0
K00274	12	117	2	0	12	2	4
K00275	1230	61	1976	87	23	196	20
K00276	7	39	0	59	0	9	0
K00277	0	4	0	0	0	0	0
K00278	5908	370	10909	1635	538	1893	98
K00279	22	0	4	0	0	0	0
K00280	3	4	0	0	0	0	0
K00281	3404	185	7793	200	67	252	17
K00282	31	33	0	0	0	0	0
K00283	3364	197	7686	166	57	137	17
K00284	9833	465	21243	4006	1535	4635	122
K00285	3233	285	9266	256	88	196	30
K00286	6239	1244	12194	1670	601	1490	91
K00287	3821	946	7833	920	358	1098	81
K00288	37	39	78	768	305	527	5
K00289	16	3	0	4	0	0	0
K00290	1304	80	3698	116	22	28	20
K00293	1	4	4	36	20	100	0
K00294	106	12	390	78	41	113	3
K00295	0	0	0	5	0	5	0
K00297	4591	2495	8573	1059	464	1160	58
K00298	4	0	0	0	0	0	0
K00299	67	71	429	379	163	479	1
K00301	16	1545	5	0	0	0	6
K00302	32	24	2	0	0	2	0
K00303	22	16	7	6	0	14	0
K00304	2	0	0	0	4	4	0
K00305	10	8	0	0	0	2	0
K00306	8	0	0	5	0	4	0
K00310	0	9	0	0	0	0	0
K00311	3292	139	5868	206	81	271	24
K00312	0	2	0	0	0	0	0
K00313	13	43	0	4	4	0	0
K00314	5	0	0	0	0	0	0
K00315	24	0	0	0	0	0	0
K00317	0	8	2	0	4	2	0
K00318	13	40	8	16	1	27	0
K00320	0	16	0	0	0	0	0
K00322	17	4	958	21	1	19	0
K00323	10	0	3	4	0	2	0
K00324	7568	129	15751	564	375	922	110
K00325	6427	171	13502	564	265	1090	92
K00326	59	5	69	28	8	66	0
K00327	4	0	0	19	4	39	0
K00329	1599	30	3451	98	33	12	4
K00330	459	9	633	26	22	32	8
K00331	1367	68	2500	78	62	97	24
K00332	1071	42	1755	109	40	71	13
K00333	2369	193	4371	207	123	186	34
K00334	1060	43	2046	71	14	17	9
K00335	3092	150	5881	384	74	144	20
K00336	4771	219	9205	476	186	281	90
K00337	1830	50	3396	156	80	134	42
K00338	813	86	2028	52	24	63	24
K00339	1232	15	2358	130	68	109	15
K00340	645	15	1123	62	64	93	2
K00341	4133	233	7696	545	228	284	53
K00342	3148	86	5444	345	200	335	62
K00343	3202	134	5233	423	230	275	43
K00344	4386	1730	8257	293	65	265	36
K00346	0	0	16	0	0	0	0
K00347	5	6	0	0	0	0	0
K00350	0	2	0	0	0	0	0
K00351	0	16	2	0	0	0	0
K00354	18	12	62	7	1	29	7
K00355	2892	365	6257	1204	366	913	61
K00356	1883	30	4053	128	35	12	24
K00362	3814	85	4040	458	259	545	77
K00363	518	10	438	238	98	153	10
K00364	5093	2815	10895	946	417	679	121
K00365	41	0	16	20	1	98	0
K00366	46	155	130	0	0	4	0
K00368	6294	274	13169	779	111	920	74
K00370	7949	306	17744	2295	1119	1403	151
K00371	2918	160	5866	834	382	522	23
K00372	127	97	37	3	4	29	9
K00373	1130	43	1886	294	201	293	2
K00374	1268	22	2108	330	198	224	12
K00375	766	174	1755	93	21	63	10
K00376	4	8	0	0	0	0	0
K00380	1264	69	2521	106	49	172	42
K00381	2859	117	4773	421	118	400	60
K00382	11610	793	23105	2284	935	2174	204
K00383	2817	6801	6154	307	99	300	115
K00384	14880	2375	29870	4599	1831	5026	238
K00387	6	0	12	0	0	0	0
K00389	0	10	0	0	0	0	0
K00390	1176	36	1940	108	45	249	44
K00392	25	186	31	0	16	22	0
K00394	0	14	0	0	0	0	0
K00404	8	39	8	0	0	1	0
K00405	21	67	2	0	0	4	0
K00406	15	18	4	0	2	4	8
K00407	4	0	0	0	0	0	8
K00408	6	0	0	0	1	0	0
K00410	983	12	2438	63	5	13	12
K00411	752	23	1548	65	4	76	8
K00412	1059	492	2552	70	22	34	21
K00413	867	43	1592	67	16	64	13
K00414	2	8	0	0	0	8	0
K00415	0	3	0	2	0	0	0
K00416	0	0	0	33	0	11	0
K00417	0	4	0	12	0	22	0
K00418	0	0	0	1	0	22	0
K00419	0	0	0	0	0	5	0
K00420	0	0	0	0	0	4	0
K00422	4	0	0	0	0	0	0
K00423	24	0	0	4	0	0	0
K00424	134	0	225	4	13	18	12
K00425	10491	2644	18707	2373	1038	2075	171
K00426	6849	1749	12081	1550	819	1721	128
K00427	1028	32	393	30	7	46	6
K00428	278	12	155	24	8	98	0
K00430	84	0	5	3	0	0	3
K00432	115	787	88	16	36	46	0
K00433	753	520	1546	54	8	22	8
K00434	5	0	0	0	0	4	0
K00435	1345	28	3385	74	23	197	12
K00441	66	0	8	0	0	0	0
K00444	6	0	0	0	1	0	0
K00445	0	0	0	0	0	1	0
K00446	0	3	0	0	0	0	0
K00448	466	28	1052	4	8	26	2
K00449	333	74	84	4	4	12	2
K00450	0	0	0	2	4	4	0
K00451	634	15	2563	84	10	9	4
K00452	0	0	0	0	0	4	4
K00453	17	0	0	18	0	2	0
K00454	98	6	9	3	0	0	0
K00455	215	4	1068	20	0	4	0
K00456	0	0	0	6	1	45	0
K00457	120	44	233	29	18	78	0
K00458	0	1	0	0	0	0	0
K00459	2467	167	3996	154	107	152	34
K00460	0	1	0	0	0	0	0
K00463	3	8	0	3	0	32	0
K00464	0	4	0	0	0	0	0
K00467	2050	69	5229	572	274	406	87
K00469	8	2	2	0	0	0	0
K00471	0	4	0	0	4	2	0
K00472	29	17	0	0	0	0	0
K00473	6	13	0	0	0	0	0
K00474	0	2	0	0	0	0	0
K00476	0	1	2	0	8	0	0
K00477	6	18	1	0	0	16	1
K00478	0	4	0	0	0	0	0
K00479	2	19	6	0	0	4	0
K00480	985	12	1880	48	4	16	4
K00481	558	8	97	22	0	34	0
K00483	12	0	0	0	0	0	0
K00484	310	16	555	40	32	40	0
K00485	6	4	1	0	0	0	0
K00486	2	10	0	6	2	58	0
K00487	12	0	0	0	0	0	0
K00488	0	8	0	0	0	0	0
K00490	0	23	0	0	0	0	0
K00491	20	8	4	0	0	0	0
K00493	4	16	0	9	1	0	0
K00496	19	5	0	0	0	0	4
K00499	16	18	0	0	4	0	0
K00500	13	26	4	0	0	0	0
K00501	3	0	0	0	0	0	0
K00502	0	5	0	0	0	0	0
K00503	6	5	15	2	0	0	0
K00504	0	1	0	0	0	0	0
K00505	58	35	35	10	0	3	0
K00506	1	0	0	0	0	0	0
K00507	26	7	1	18	4	78	0
K00508	537	29	1280	111	29	100	28
K00509	0	12	0	0	0	0	0
K00511	50	26	4	5	0	45	0
K00512	159	8	31	7	4	13	4
K00517	40	0	0	0	0	0	0
K00518	0	8	0	0	0	0	0
K00520	25	90	0	4	7	8	0
K00521	1	0	1	0	0	0	0
K00522	0	6	0	0	0	0	0
K00523	369	17	345	48	78	98	2
K00524	1	0	4	0	0	0	0
K00525	17664	5645	33819	4972	2111	4597	329
K00526	8555	2744	17106	2175	1057	2557	181
K00527	6093	24	12472	633	205	128	213
K00528	6418	588	13362	1962	872	2344	95
K00529	18	33	22	0	0	8	0
K00537	2225	144	4720	775	255	599	46
K00542	0	14	0	0	0	0	0
K00543	0	3	0	0	0	0	0
K00544	129	0	91	9	0	4	2
K00545	0	0	0	4	2	0	0
K00547	2033	1111	3386	154	48	72	62
K00548	5413	191	13010	279	58	129	84
K00549	11201	7581	20845	3042	1155	3241	284
K00551	0	0	0	0	0	25	0
K00552	4	0	1	0	0	0	0
K00554	7076	2174	15558	1785	633	1746	161
K00555	155	6	326	19	0	27	0
K00556	2089	275	4471	1421	562	1252	33
K00557	6067	4142	11615	491	133	403	124
K00558	4538	595	10154	928	290	469	53
K00559	0	7	2	14	0	98	0
K00560	5767	3006	12843	2238	1173	1869	175
K00561	76	4	116	6	0	0	4
K00563	36	70	313	16	0	0	0
K00564	4243	1830	8970	1089	472	960	68
K00565	66	0	94	20	4	16	1
K00566	6184	649	11715	668	236	429	124
K00567	5151	208	9663	927	301	568	124
K00568	2388	65	5020	233	137	285	25
K00569	0	0	0	2	8	16	0
K00570	152	24	99	8	0	4	6
K00571	3620	1591	5596	292	48	146	63
K00572	6	0	0	0	1	0	0
K00573	2638	76	5396	435	200	339	70
K00574	8024	1045	16053	1758	777	1854	145
K00575	14	39	12	3	0	8	0
K00586	45	4	44	0	0	0	0
K00587	4	4	0	0	0	4	0
K00588	8	3	0	11	0	4	4
K00589	0	4	8	25	0	72	0
K00590	587	24	2414	61	6	1	11
K00591	5	13	8	55	53	82	0
K00592	6	0	6	0	0	0	0
K00594	0	8	0	0	0	0	0
K00595	1168	49	2019	61	12	6	4
K00596	10	0	0	2	2	2	0
K00597	22	0	54	2	0	0	0
K00598	748	2	1436	58	12	34	1
K00600	7766	4157	16257	1851	782	2022	138
K00601	0	4	25	8	0	33	0
K00602	8856	3211	18710	1600	809	1868	166
K00604	7986	2600	15639	2306	930	1964	181
K00605	1320	119	3725	94	24	80	2
K00606	2322	42	4817	222	117	142	41
K00608	1	0	0	2	0	0	0
K00609	7268	2744	14825	1059	538	1373	122
K00610	1279	15	2598	424	173	425	8
K00611	6284	2750	12861	1800	836	1797	103
K00612	16	0	2079	51	2	4	4
K00613	14	50	0	0	0	0	0
K00615	18490	972	40123	4463	1810	3787	268
K00616	6043	519	12132	1829	782	1600	136
K00618	8	4	23	0	0	40	0
K00619	4	12	0	0	0	0	0
K00620	4578	1475	11009	1115	403	1086	51
K00621	4	0	16	6	8	12	0
K00623	0	0	12	0	0	0	0
K00624	4	19	8	40	0	86	0
K00625	4376	2677	8677	406	127	354	133
K00626	12458	3472	21991	2021	721	1935	229
K00627	5662	162	12044	739	255	707	105
K00629	0	0	0	6	0	0	0
K00631	2250	49	3763	979	446	515	72
K00632	3546	158	4639	1098	413	1192	34
K00633	2152	19	4457	130	36	21	24
K00634	1584	4	2722	50	8	6	8
K00635	25	26	0	0	0	2	1
K00637	0	4	0	4	1	27	0
K00638	525	18	1479	47	8	6	12
K00639	75	71	158	16	4	24	1
K00640	2710	144	5386	321	159	275	77
K00641	2768	175	5741	288	81	237	27
K00643	347	35	334	32	4	64	10
K00645	4386	2354	8525	650	299	433	91
K00646	17	4	47	4	4	14	0
K00647	3877	60	10664	454	266	419	65
K00648	4105	5560	7158	307	158	305	102
K00651	3594	1439	7336	1154	615	1394	91
K00652	647	130	959	36	60	63	13
K00653	0	1	0	4	5	0	0
K00654	617	36	564	71	0	122	5
K00655	8322	1773	17616	2985	1432	2879	142
K00656	11463	699	28977	4346	1712	3421	230
K00657	8	644	72	170	48	40	0
K00658	2636	176	5650	180	63	183	34
K00659	0	0	2	0	0	0	0
K00660	42	2	0	0	0	0	0
K00661	4830	442	10474	617	177	220	70
K00662	4	2	0	0	0	0	0
K00663	0	3	4	0	0	0	0
K00665	15	11	2	0	0	0	0
K00666	1200	452	1195	100	42	37	18
K00667	2	0	4	140	8	372	0
K00668	6	0	4	129	4	352	0
K00670	1	0	0	2	1	5	0
K00671	66	3	68	20	0	27	0
K00673	10	4	3	6	16	8	0
K00674	8170	1697	17666	1804	553	1538	146
K00675	0	2	0	0	0	4	0
K00677	2405	52	5061	417	204	214	14
K00679	1	1	12	30	10	57	0
K00680	2	2	0	0	0	0	0
K00681	3410	139	4718	293	109	277	46
K00682	0	2	0	0	0	0	0
K00683	2	10	0	0	0	22	0
K00684	814	21	2174	346	187	230	8
K00685	2	0	0	0	0	0	0
K00687	4371	4368	8285	628	104	445	162
K00688	1264	265	3474	93	31	107	29
K00689	5	264	12	0	0	0	5
K00690	1999	50	3530	120	28	30	9
K00691	2094	57	6339	193	44	60	72
K00692	40	4464	10	0	0	12	0
K00693	4	5	2	34	1	80	0
K00694	57	82	34	10	42	91	0
K00695	6	0	0	1	0	0	0
K00696	18	0	0	0	0	2	0
K00697	6678	224	13534	2680	955	2844	126
K00698	245	58	330	160	19	355	0
K00699	38	829	10	546	346	330	11
K00700	48	302	47	50	78	246	4
K00701	0	0	0	0	8	2	0
K00702	4146	50	10346	840	102	163	39
K00703	68	44	0	16	12	16	0
K00705	880	136	2156	54	18	62	10
K00706	7	2	0	86	20	348	0
K00710	18	112	0	0	0	0	0
K00712	3390	53	6440	325	58	214	75
K00713	84	0	67	2	0	0	8
K00714	0	8	0	0	0	0	0
K00716	4	8	0	0	0	0	0
K00718	0	24	0	0	0	0	0
K00720	317	25	1582	64	8	18	0
K00721	3074	202	7406	521	182	200	62
K00725	4	0	14	0	0	0	0
K00726	18	0	0	0	0	4	0
K00727	0	12	0	0	0	0	0
K00728	5054	453	10749	758	285	951	89
K00729	0	10	0	8	0	25	0
K00734	0	6	0	0	0	0	0
K00735	0	1	0	0	0	0	0
K00736	0	3	0	3	0	2	0
K00737	2	16	0	0	0	8	0
K00738	1	0	0	0	0	0	0
K00739	1	0	0	0	0	0	0
K00745	0	0	1	0	0	0	0
K00748	3451	54	7178	782	327	476	74
K00749	0	8	6	22	0	7	0
K00750	10	383	2	4	0	16	4
K00752	7	12	6	0	0	27	0
K00753	4	8	0	2	1	0	0
K00754	145	3	73	14	0	2	4
K00756	5261	103	8967	901	204	817	149
K00757	46	22	73	195	170	127	0
K00758	1077	125	2240	915	342	830	35
K00759	4175	1561	7852	1123	292	921	118
K00760	6502	1402	13362	2799	1276	2472	90
K00761	5723	2073	11105	1442	570	1305	154
K00762	5422	1717	10318	1237	518	1318	120
K00763	12294	3563	24158	2495	1041	2576	333
K00764	7426	2971	15150	912	258	1122	127
K00765	4519	1253	9051	902	477	1114	102
K00766	5899	1960	12491	1905	868	1357	109
K00767	496	58	469	50	20	118	3
K00768	1912	144	4401	141	32	23	50
K00769	932	2	2236	194	142	158	30
K00770	5	0	0	0	0	0	0
K00771	8	16	0	7	0	0	0
K00772	1071	50	1719	174	98	292	28
K00773	9057	3678	17806	2642	1190	3268	149
K00774	0	2	0	0	0	0	0
K00782	1515	64	3329	695	264	908	20
K00783	3964	1381	6256	449	209	323	89
K00784	6115	2293	9928	756	153	441	165
K00786	1495	43	3202	78	18	28	16
K00787	89	10	90	12	0	0	0
K00788	5814	685	10836	490	129	396	110
K00789	11426	3044	24088	1908	754	1934	208
K00790	12982	4455	25051	2921	1402	3283	286
K00791	6593	1516	12573	1704	576	1936	135
K00793	1856	177	3365	475	152	341	30
K00794	2116	428	5202	249	105	216	55
K00795	3093	31	5739	303	121	239	27
K00796	2405	308	4439	625	371	466	45
K00797	1514	90	2222	156	98	332	18
K00798	806	96	2296	70	8	2	14
K00799	2950	221	5491	322	120	218	47
K00800	7511	2623	17991	1862	736	2125	173
K00801	0	36	0	16	0	20	0
K00802	3	20	0	14	0	12	0
K00803	46	26	630	5	6	2	0
K00804	0	0	0	1	4	50	0
K00805	4121	800	8860	1054	356	1000	99
K00806	5393	1774	10985	1549	774	1657	101
K00808	4	22	0	0	0	8	0
K00809	97	16	97	25	16	39	4
K00811	0	0	0	3	0	4	0
K00812	7621	1413	15694	1730	465	1625	88
K00813	1266	70	3010	692	395	338	34
K00814	1	348	2	14	14	92	4
K00815	6	0	4	9	0	0	0
K00816	0	18	0	0	0	0	0
K00817	10357	1328	22055	2382	1011	2860	105
K00818	10	24	0	21	2	40	0
K00819	83	294	9	0	0	48	2
K00820	15835	3894	31883	4180	1578	4054	355
K00821	6875	2625	15024	1211	454	1344	117
K00822	45	4	6	0	8	20	2
K00823	5589	3213	7804	1253	684	1547	144
K00824	927	40	1888	54	12	4	0
K00825	0	0	0	3	0	0	0
K00826	9076	2978	17624	2064	885	1952	199
K00827	4	4	34	0	6	0	0
K00830	16	32	1	11	1	65	2
K00831	3465	1301	6414	464	167	261	95
K00832	8320	957	16246	1619	661	1173	186
K00833	192	90	974	40	16	36	8
K00835	4	7	4	6	8	4	0
K00836	124	6	163	4	18	8	0
K00838	0	16	0	18	0	54	0
K00839	932	34	1447	53	24	14	8
K00840	1253	26	3634	238	110	170	32
K00841	15051	7369	29509	2063	365	1210	311
K00842	0	23	551	11	11	8	0
K00844	101	111	96	70	0	104	0
K00845	12086	2964	24254	3304	1280	3336	233
K00846	214	1	642	17	0	0	8
K00847	9227	3563	17825	2064	774	1757	213
K00848	3371	62	7312	402	73	152	110
K00849	5895	451	11906	1983	668	2325	129
K00850	4390	285	8008	735	211	543	140
K00851	2872	3951	5615	361	92	520	52
K00852	12449	3717	22794	2213	806	2458	228
K00853	3114	92	5065	278	95	316	92
K00854	12163	225	25711	1153	254	1130	245
K00855	32	25	2	2	0	8	0
K00856	1130	44	2923	97	28	66	14
K00857	2372	1542	4116	296	70	178	57
K00858	6603	1966	13052	1749	618	1517	117
K00859	3752	1320	7279	1080	256	717	62
K00860	2	0	0	0	4	38	4
K00861	0	0	0	4	0	3	0
K00863	2491	138	3941	229	84	187	35
K00864	9030	691	19847	934	251	845	271
K00865	2669	82	6822	340	81	515	57
K00866	9	0	23	23	0	28	0
K00867	3279	1410	7087	415	165	196	101
K00868	7087	875	14326	1811	672	1773	169
K00869	2049	1776	4365	1230	389	1274	73
K00871	18	231	0	4	1	0	4
K00872	3999	1459	8162	2414	1006	1714	88
K00873	11173	3124	24041	3159	1327	2505	288
K00874	6701	221	13081	1192	541	1341	102
K00875	7	10	7	0	4	1	0
K00876	1500	1287	2846	123	66	185	48
K00877	6	0	25	0	0	4	0
K00878	4444	1475	8750	425	118	659	115
K00879	36	6	0	0	0	0	0
K00880	5103	48	8868	878	217	889	135
K00881	30	0	34	0	0	0	0
K00882	5737	230	11993	987	215	458	165
K00883	4	4	0	6	8	8	0
K00884	46	0	208	169	88	57	0
K00885	8	0	0	0	0	0	0
K00886	1850	122	4647	715	443	915	16
K00887	28	404	0	3	0	0	0
K00888	27	7	8	57	6	96	0
K00889	24	50	24	0	0	17	0
K00891	4312	1131	9103	442	212	309	53
K00892	4	0	0	16	4	0	0
K00893	0	2	0	0	0	0	0
K00894	0	0	4	23	0	37	0
K00895	14	64	0	0	0	1	0
K00898	1	8	0	4	20	99	0
K00899	51	2	114	10	4	0	0
K00900	0	0	0	4	4	89	0
K00901	497	438	1108	101	54	73	7
K00905	0	0	0	0	0	1	0
K00906	13	8	340	14	21	56	0
K00907	11	41	0	2	2	0	2
K00908	0	0	2	14	11	0	0
K00911	0	1	2	0	0	0	0
K00912	2422	29	4750	285	200	244	30
K00913	26	0	0	1	0	0	0
K00914	16	0	25	25	5	25	0
K00915	2	0	0	0	0	14	0
K00916	10	4	0	0	0	49	0
K00917	636	2	1466	48	10	14	31
K00919	4218	328	8236	468	143	154	75
K00920	1	0	4	0	0	0	0
K00921	7	13	0	4	1	38	0
K00922	0	4	0	0	0	0	0
K00923	0	4	0	0	0	0	0
K00924	39	0	4	4	2	4	2
K00925	9471	2604	17415	2331	959	2159	154
K00926	1382	34	2167	135	51	100	30
K00927	9893	3487	20579	3040	1110	2239	202
K00928	11756	3346	23601	2589	982	2262	221
K00929	4	74	0	0	0	0	0
K00930	4475	464	9879	1109	526	977	70
K00931	6015	1820	12167	1195	418	1367	71
K00932	28	12	582	3	0	2	0
K00933	0	1	0	0	0	0	0
K00936	3307	402	7330	1608	763	1895	44
K00937	11020	1847	22315	4372	2139	4518	142
K00938	2952	1280	5699	684	214	553	120
K00939	4110	1622	9130	1190	576	1329	98
K00940	1085	60	2487	264	135	246	12
K00941	8093	3527	16657	853	260	582	204
K00942	5939	2133	11765	1316	505	1155	187
K00943	6298	1988	11906	1377	440	1270	109
K00944	0	0	0	0	2	23	0
K00945	3755	1188	7013	396	164	324	77
K00946	701	78	1057	142	182	113	18
K00948	10769	5034	22184	3689	1319	3547	316
K00949	4215	969	7951	960	254	662	116
K00950	3791	470	7469	520	219	296	54
K00951	18373	5758	39123	5076	2179	4086	465
K00953	0	4	0	8	0	10	0
K00954	3807	1193	6832	991	453	1004	58
K00955	443	104	2003	85	28	29	6
K00956	835	111	2568	208	85	147	32
K00957	875	47	1477	117	36	153	10
K00958	899	12	1739	69	4	162	16
K00960	57	4	623	30	0	4	0
