KEGG_KO	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
K05681	16	0	2	23	4	75	0
K05683	0	7	0	0	0	0	0
K05685	8463	81	15906	647	257	451	169
K05687	120	0	250	184	97	81	0
K05688	5	6	8	1	0	1	1
K05689	0	3	0	0	0	0	0
K05690	20	534	5	8	3	2	6
K05691	2	0	0	1	0	0	0
K05692	175	100	218	18	26	87	0
K05693	1	19	0	0	2	0	1
K05694	8	2	0	0	0	0	0
K05695	26	45	8	0	0	0	0
K05696	16	0	0	1	2	0	0
K05697	0	8	0	0	0	0	0
K05699	8	22	0	0	0	8	0
K05700	0	2	0	0	0	0	0
K05701	0	9	0	0	0	0	0
K05702	1	24	0	0	2	0	0
K05703	0	16	0	0	0	0	0
K05704	0	16	0	0	0	0	0
K05705	0	16	0	0	0	0	0
K05708	28	0	0	0	0	0	0
K05709	4	0	0	0	0	0	0
K05710	4	24	0	0	1	0	0
K05712	574	4	2449	24	30	8	0
K05713	0	2	2	0	0	0	0
K05715	0	0	0	4	0	0	0
K05718	0	5	0	0	0	0	0
K05719	2	1	1	0	0	0	0
K05720	0	20	0	0	0	0	0
K05722	0	6	0	0	0	0	0
K05723	0	20	0	0	0	0	0
K05724	0	9	0	0	0	4	0
K05725	1	2	4	0	0	2	0
K05727	19	19	0	2	0	0	0
K05728	0	3	0	0	0	0	0
K05729	0	0	1	0	0	0	0
K05731	0	16	0	0	1	0	0
K05732	1	3	0	0	0	0	0
K05733	8	9	0	0	0	11	0
K05734	0	4	0	0	0	0	0
K05735	0	4	0	2	0	0	0
K05736	0	4	0	2	0	0	0
K05737	0	17	0	0	0	0	0
K05740	70	404	66	3	11	34	9
K05741	62	404	66	2	3	0	9
K05742	3	12	0	0	0	0	0
K05745	16	404	2	2	3	0	9
K05747	7	0	0	38	0	43	0
K05749	15	0	0	0	0	0	0
K05750	4	9	0	0	0	0	0
K05752	2	78	4	0	0	0	12
K05754	0	0	0	10	6	0	0
K05755	2	0	0	18	0	55	0
K05756	0	10	1	0	0	28	0
K05757	4	11	0	8	8	74	0
K05758	20	0	0	22	0	60	0
K05759	0	12	0	8	0	1	0
K05761	1	22	0	0	0	0	0
K05762	24	12	0	0	0	0	0
K05763	24	12	0	0	0	0	0
K05765	60	34	96	30	2	24	2
K05766	10	6	4	0	1	0	0
K05767	72	46	121	11	6	20	0
K05768	1	22	0	0	0	3	0
K05770	76	4	79	6	0	0	0
K05772	0	0	2	0	0	0	0
K05774	188	8	227	10	6	24	0
K05775	12	0	0	24	0	6	0
K05776	978	30	1733	301	269	245	30
K05778	8	0	0	0	0	0	0
K05780	0	0	4	3	0	8	0
K05781	1	40	0	0	0	4	0
K05782	33	30	0	6	0	21	0
